Year,variable,value
2016,PublicSocietyBenefit,27.45
2017,PublicSocietyBenefit,29.59
1977,PublicSocietyBenefit%Change,-12.8
1978,PublicSocietyBenefit%Change,16.3
1979,PublicSocietyBenefit%Change,21.3
1980,PublicSocietyBenefit%Change,25.3
1981,PublicSocietyBenefit%Change,-6.6
1982,PublicSocietyBenefit%Change,50.7
1983,PublicSocietyBenefit%Change,17.4
1984,PublicSocietyBenefit%Change,24.1
1985,PublicSocietyBenefit%Change,-12.6
1986,PublicSocietyBenefit%Change,87.3
1987,PublicSocietyBenefit%Change,-36.6
1988,PublicSocietyBenefit%Change,7.0
1989,PublicSocietyBenefit%Change,15.8
1990,PublicSocietyBenefit%Change,9.0
1991,PublicSocietyBenefit%Change,2.6
1992,PublicSocietyBenefit%Change,6.2
1993,PublicSocietyBenefit%Change,15.7
1994,PublicSocietyBenefit%Change,-1.9
1995,PublicSocietyBenefit%Change,8.0
1996,PublicSocietyBenefit%Change,7.3
1997,PublicSocietyBenefit%Change,19.5
1998,PublicSocietyBenefit%Change,11.4
1999,PublicSocietyBenefit%Change,8.6
2000,PublicSocietyBenefit%Change,10.5
2001,PublicSocietyBenefit%Change,10.4
2002,PublicSocietyBenefit%Change,-14.1
2003,PublicSocietyBenefit%Change,12.2
2004,PublicSocietyBenefit%Change,10.7
2005,PublicSocietyBenefit%Change,17.6
2006,PublicSocietyBenefit%Change,11.6
2007,PublicSocietyBenefit%Change,-13.7
2008,PublicSocietyBenefit%Change,-10.2
2009,PublicSocietyBenefit%Change,-3.6
2010,PublicSocietyBenefit%Change,11.0
2011,PublicSocietyBenefit%Change,11.1
2012,PublicSocietyBenefit%Change,7.2
2013,PublicSocietyBenefit%Change,6.1
2014,PublicSocietyBenefit%Change,5.9
2015,PublicSocietyBenefit%Change,4.4
2016,PublicSocietyBenefit%Change,2.2
2017,PublicSocietyBenefit%Change,7.8
1977,ArtsCultureHumanities,1.84
1978,ArtsCultureHumanities,1.87
1979,ArtsCultureHumanities,1.98
1980,ArtsCultureHumanities,2.12
1981,ArtsCultureHumanities,2.28
1982,ArtsCultureHumanities,0.97
1983,ArtsCultureHumanities,1.41
1984,ArtsCultureHumanities,1.69
1985,ArtsCultureHumanities,1.89
1986,ArtsCultureHumanities,2.5
1987,ArtsCultureHumanities,2.6
1988,ArtsCultureHumanities,3.01
1989,ArtsCultureHumanities,3.42
1990,ArtsCultureHumanities,3.69
1991,ArtsCultureHumanities,3.82
1992,ArtsCultureHumanities,4.16
1993,ArtsCultureHumanities,4.26
1994,ArtsCultureHumanities,4.6
1995,ArtsCultureHumanities,5.29
1996,ArtsCultureHumanities,5.98
1997,ArtsCultureHumanities,7.18
1998,ArtsCultureHumanities,8.1
1999,ArtsCultureHumanities,8.8
2000,ArtsCultureHumanities,10.56
2001,ArtsCultureHumanities,9.73
2002,ArtsCultureHumanities,9.93
2003,ArtsCultureHumanities,11.11
2004,ArtsCultureHumanities,11.23
2005,ArtsCultureHumanities,12.43
2006,ArtsCultureHumanities,13.92
2007,ArtsCultureHumanities,14.92
2008,ArtsCultureHumanities,12.29
2009,ArtsCultureHumanities,12.59
2010,ArtsCultureHumanities,13.38
2011,ArtsCultureHumanities,12.82
2012,ArtsCultureHumanities,13.89
2013,ArtsCultureHumanities,14.64
2014,ArtsCultureHumanities,15.9
2015,ArtsCultureHumanities,17.61
2016,ArtsCultureHumanities,17.95
2017,ArtsCultureHumanities,19.51
1977,ArtsCultureHumanities%Change,19.5
1978,ArtsCultureHumanities%Change,1.6
1979,ArtsCultureHumanities%Change,5.9
1980,ArtsCultureHumanities%Change,7.1
1981,ArtsCultureHumanities%Change,7.5
1982,ArtsCultureHumanities%Change,-57.5
1983,ArtsCultureHumanities%Change,45.4
1984,ArtsCultureHumanities%Change,19.9
1985,ArtsCultureHumanities%Change,11.8
1986,ArtsCultureHumanities%Change,32.3
1987,ArtsCultureHumanities%Change,4.0
1988,ArtsCultureHumanities%Change,15.8
1989,ArtsCultureHumanities%Change,13.6
1990,ArtsCultureHumanities%Change,7.9
1991,ArtsCultureHumanities%Change,3.5
1992,ArtsCultureHumanities%Change,8.9
1993,ArtsCultureHumanities%Change,2.4
1994,ArtsCultureHumanities%Change,8.0
1995,ArtsCultureHumanities%Change,15.0
1996,ArtsCultureHumanities%Change,13.0
1997,ArtsCultureHumanities%Change,20.1
1998,ArtsCultureHumanities%Change,12.8
1999,ArtsCultureHumanities%Change,8.6
2000,ArtsCultureHumanities%Change,20.0
2001,ArtsCultureHumanities%Change,-7.9
2002,ArtsCultureHumanities%Change,2.1
2003,ArtsCultureHumanities%Change,11.9
2004,ArtsCultureHumanities%Change,1.1
2005,ArtsCultureHumanities%Change,10.7
2006,ArtsCultureHumanities%Change,12.0
2007,ArtsCultureHumanities%Change,7.2
2008,ArtsCultureHumanities%Change,-17.6
2009,ArtsCultureHumanities%Change,2.4
2010,ArtsCultureHumanities%Change,6.3
2011,ArtsCultureHumanities%Change,-4.2
2012,ArtsCultureHumanities%Change,8.3
2013,ArtsCultureHumanities%Change,5.4
2014,ArtsCultureHumanities%Change,8.6
2015,ArtsCultureHumanities%Change,10.7
2016,ArtsCultureHumanities%Change,1.9
2017,ArtsCultureHumanities%Change,8.7
1977,InternationalAffairs,
1978,InternationalAffairs,
1979,InternationalAffairs,
1980,InternationalAffairs,
1981,InternationalAffairs,
1982,InternationalAffairs,
1983,InternationalAffairs,
1984,InternationalAffairs,
1985,InternationalAffairs,
1986,InternationalAffairs,
1987,InternationalAffairs,1.45
1988,InternationalAffairs,1.46
1989,InternationalAffairs,1.64
1990,InternationalAffairs,2.06
1991,InternationalAffairs,1.62
1992,InternationalAffairs,2.12
1993,InternationalAffairs,1.94
1994,InternationalAffairs,2.47
1995,InternationalAffairs,2.63
1996,InternationalAffairs,2.99
1997,InternationalAffairs,3.14
1998,InternationalAffairs,4.11
1999,InternationalAffairs,5.36
2000,InternationalAffairs,6.28
2001,InternationalAffairs,6.68
2002,InternationalAffairs,7.97
2003,InternationalAffairs,9.44
2004,InternationalAffairs,11.52
2005,InternationalAffairs,12.71
2006,InternationalAffairs,13.51
2007,InternationalAffairs,15.78
2008,InternationalAffairs,20.57
2009,InternationalAffairs,16.39
2010,InternationalAffairs,13.89
2011,InternationalAffairs,15.18
2012,InternationalAffairs,16.01
2013,InternationalAffairs,19.41
2014,InternationalAffairs,20.3
2015,InternationalAffairs,23.66
2016,InternationalAffairs,24.03
2017,InternationalAffairs,22.97
1977,InternationalAffairs%Change,
1978,InternationalAffairs%Change,
1979,InternationalAffairs%Change,
1980,InternationalAffairs%Change,
1981,InternationalAffairs%Change,
1982,InternationalAffairs%Change,
1983,InternationalAffairs%Change,
1984,InternationalAffairs%Change,
1985,InternationalAffairs%Change,
1986,InternationalAffairs%Change,
1987,InternationalAffairs%Change,
1988,InternationalAffairs%Change,0.7
1989,InternationalAffairs%Change,12.3
1990,InternationalAffairs%Change,25.6
1991,InternationalAffairs%Change,-21.4
1992,InternationalAffairs%Change,30.9
1993,InternationalAffairs%Change,-8.5
1994,InternationalAffairs%Change,27.3
1995,InternationalAffairs%Change,6.5
1996,InternationalAffairs%Change,13.7
1997,InternationalAffairs%Change,5.0
1998,InternationalAffairs%Change,30.9
1999,InternationalAffairs%Change,30.4
2000,InternationalAffairs%Change,17.2
2001,InternationalAffairs%Change,6.4
2002,InternationalAffairs%Change,19.3
2003,InternationalAffairs%Change,18.4
2004,InternationalAffairs%Change,22.0
2005,InternationalAffairs%Change,10.3
2006,InternationalAffairs%Change,6.3
2007,InternationalAffairs%Change,16.8
2008,InternationalAffairs%Change,30.4
2009,InternationalAffairs%Change,-20.3
2010,InternationalAffairs%Change,-15.3
2011,InternationalAffairs%Change,9.3
2012,InternationalAffairs%Change,5.5
2013,InternationalAffairs%Change,21.2
2014,InternationalAffairs%Change,4.6
2015,InternationalAffairs%Change,16.5
2016,InternationalAffairs%Change,1.6
2017,InternationalAffairs%Change,-4.4
1977,EnvironmentAnimals,
1978,EnvironmentAnimals,
1979,EnvironmentAnimals,
1980,EnvironmentAnimals,
1981,EnvironmentAnimals,
1982,EnvironmentAnimals,
1983,EnvironmentAnimals,
1984,EnvironmentAnimals,
1985,EnvironmentAnimals,
1986,EnvironmentAnimals,
1987,EnvironmentAnimals,0.84
1988,EnvironmentAnimals,0.94
1989,EnvironmentAnimals,1.08
1990,EnvironmentAnimals,1.29
1991,EnvironmentAnimals,1.49
1992,EnvironmentAnimals,1.59
1993,EnvironmentAnimals,1.79
1994,EnvironmentAnimals,1.99
1995,EnvironmentAnimals,2.23
1996,EnvironmentAnimals,2.6
1997,EnvironmentAnimals,2.91
1998,EnvironmentAnimals,3.79
1999,EnvironmentAnimals,4.52
2000,EnvironmentAnimals,4.87
2001,EnvironmentAnimals,5.3
2002,EnvironmentAnimals,4.66
2003,EnvironmentAnimals,4.98
2004,EnvironmentAnimals,5.78
2005,EnvironmentAnimals,6.47
2006,EnvironmentAnimals,7.39
2007,EnvironmentAnimals,8.05
2008,EnvironmentAnimals,7.71
2009,EnvironmentAnimals,7.32
2010,EnvironmentAnimals,7.93
2011,EnvironmentAnimals,8.16
2012,EnvironmentAnimals,8.92
2013,EnvironmentAnimals,8.56
2014,EnvironmentAnimals,9.56
2015,EnvironmentAnimals,10.61
2016,EnvironmentAnimals,11.03
2017,EnvironmentAnimals,11.83
1977,EnvironmentAnimals%Change,
1978,EnvironmentAnimals%Change,
1979,EnvironmentAnimals%Change,
1980,EnvironmentAnimals%Change,
1981,EnvironmentAnimals%Change,
1982,EnvironmentAnimals%Change,
1983,EnvironmentAnimals%Change,
1984,EnvironmentAnimals%Change,
1985,EnvironmentAnimals%Change,
1986,EnvironmentAnimals%Change,
1987,EnvironmentAnimals%Change,
1988,EnvironmentAnimals%Change,11.9
1989,EnvironmentAnimals%Change,14.9
1990,EnvironmentAnimals%Change,19.4
1991,EnvironmentAnimals%Change,15.5
1992,EnvironmentAnimals%Change,6.7
1993,EnvironmentAnimals%Change,12.6
1994,EnvironmentAnimals%Change,11.2
1995,EnvironmentAnimals%Change,12.1
1996,EnvironmentAnimals%Change,16.6
1997,EnvironmentAnimals%Change,11.9
1998,EnvironmentAnimals%Change,30.2
1999,EnvironmentAnimals%Change,19.3
2000,EnvironmentAnimals%Change,7.7
2001,EnvironmentAnimals%Change,8.8
2002,EnvironmentAnimals%Change,-12.1
2003,EnvironmentAnimals%Change,6.9
2004,EnvironmentAnimals%Change,16.1
2005,EnvironmentAnimals%Change,11.9
2006,EnvironmentAnimals%Change,14.2
2007,EnvironmentAnimals%Change,8.9
2008,EnvironmentAnimals%Change,-4.2
2009,EnvironmentAnimals%Change,-5.1
2010,EnvironmentAnimals%Change,8.3
2011,EnvironmentAnimals%Change,2.9
2012,EnvironmentAnimals%Change,9.3
2013,EnvironmentAnimals%Change,-4.0
2014,EnvironmentAnimals%Change,11.7
2015,EnvironmentAnimals%Change,10.9
2016,EnvironmentAnimals%Change,4.0
2017,EnvironmentAnimals%Change,7.2
1977,GiftstoFoundations,
1978,GiftstoFoundations,1.61
1979,GiftstoFoundations,2.21
1980,GiftstoFoundations,1.98
1981,GiftstoFoundations,2.39
1982,GiftstoFoundations,4.0
1983,GiftstoFoundations,2.71
1984,GiftstoFoundations,3.36
1985,GiftstoFoundations,4.73
1986,GiftstoFoundations,4.96
1987,GiftstoFoundations,5.16
1988,GiftstoFoundations,3.93
1989,GiftstoFoundations,4.41
1990,GiftstoFoundations,3.83
1991,GiftstoFoundations,4.46
1992,GiftstoFoundations,5.01
1993,GiftstoFoundations,6.26
1994,GiftstoFoundations,6.33
1995,GiftstoFoundations,8.46
1996,GiftstoFoundations,12.63
1997,GiftstoFoundations,13.96
1998,GiftstoFoundations,19.92
1999,GiftstoFoundations,28.76
2000,GiftstoFoundations,24.71
2001,GiftstoFoundations,25.67
2002,GiftstoFoundations,19.16
2003,GiftstoFoundations,21.62
2004,GiftstoFoundations,20.32
2005,GiftstoFoundations,24.46
2006,GiftstoFoundations,27.1
2007,GiftstoFoundations,37.67
2008,GiftstoFoundations,30.14
2009,GiftstoFoundations,32.39
2010,GiftstoFoundations,26.07
2011,GiftstoFoundations,30.2
2012,GiftstoFoundations,40.13
2013,GiftstoFoundations,40.83
2014,GiftstoFoundations,43.79
2015,GiftstoFoundations,38.46
2016,GiftstoFoundations,39.72
2017,GiftstoFoundations,45.89
1977,GiftstoFoundations%Change,
1978,GiftstoFoundations%Change,
1979,GiftstoFoundations%Change,37.3
1980,GiftstoFoundations%Change,-10.4
1981,GiftstoFoundations%Change,20.7
1982,GiftstoFoundations%Change,67.4
1983,GiftstoFoundations%Change,-32.3
1984,GiftstoFoundations%Change,24.0
1985,GiftstoFoundations%Change,40.8
1986,GiftstoFoundations%Change,4.9
1987,GiftstoFoundations%Change,4.0
1988,GiftstoFoundations%Change,-23.8
1989,GiftstoFoundations%Change,12.2
1990,GiftstoFoundations%Change,-13.2
1991,GiftstoFoundations%Change,16.4
1992,GiftstoFoundations%Change,12.3
1993,GiftstoFoundations%Change,25.0
1994,GiftstoFoundations%Change,1.1
1995,GiftstoFoundations%Change,33.6
1996,GiftstoFoundations%Change,49.3
1997,GiftstoFoundations%Change,10.5
1998,GiftstoFoundations%Change,42.7
1999,GiftstoFoundations%Change,44.4
2000,GiftstoFoundations%Change,-14.1
2001,GiftstoFoundations%Change,3.9
2002,GiftstoFoundations%Change,-25.4
2003,GiftstoFoundations%Change,12.8
2004,GiftstoFoundations%Change,-6.0
2005,GiftstoFoundations%Change,20.4
2006,GiftstoFoundations%Change,10.8
2007,GiftstoFoundations%Change,39.0
2008,GiftstoFoundations%Change,-20.0
2009,GiftstoFoundations%Change,7.5
2010,GiftstoFoundations%Change,-19.5
2011,GiftstoFoundations%Change,15.8
2012,GiftstoFoundations%Change,32.9
2013,GiftstoFoundations%Change,1.7
2014,GiftstoFoundations%Change,7.2
2015,GiftstoFoundations%Change,-12.2
2016,GiftstoFoundations%Change,3.3
2017,GiftstoFoundations%Change,15.5
1977,GiftstoIndividuals,
1978,GiftstoIndividuals,
1979,GiftstoIndividuals,
1980,GiftstoIndividuals,
1981,GiftstoIndividuals,
1982,GiftstoIndividuals,
1983,GiftstoIndividuals,
1984,GiftstoIndividuals,
1985,GiftstoIndividuals,
1986,GiftstoIndividuals,
1987,GiftstoIndividuals,
1988,GiftstoIndividuals,
1989,GiftstoIndividuals,
1990,GiftstoIndividuals,
1991,GiftstoIndividuals,
1992,GiftstoIndividuals,
1993,GiftstoIndividuals,
1994,GiftstoIndividuals,
1995,GiftstoIndividuals,
1996,GiftstoIndividuals,
1997,GiftstoIndividuals,
1998,GiftstoIndividuals,
1999,GiftstoIndividuals,
2000,GiftstoIndividuals,
2001,GiftstoIndividuals,
2002,GiftstoIndividuals,
2003,GiftstoIndividuals,
2004,GiftstoIndividuals,1.74
2005,GiftstoIndividuals,3.11
2006,GiftstoIndividuals,3.83
2007,GiftstoIndividuals,3.37
2008,GiftstoIndividuals,3.6
2009,GiftstoIndividuals,4.2
2010,GiftstoIndividuals,4.88
2011,GiftstoIndividuals,6.1
2012,GiftstoIndividuals,5.84
2013,GiftstoIndividuals,7.22
2014,GiftstoIndividuals,6.83
2015,GiftstoIndividuals,6.85
2016,GiftstoIndividuals,9.93
2017,GiftstoIndividuals,7.87
1977,Unallocated,3.18
1978,Unallocated,2.6
1979,Unallocated,3.64
1980,Unallocated,6.02
1981,Unallocated,8.28
1982,Unallocated,10.29
1983,Unallocated,10.06
1984,Unallocated,7.9
1985,Unallocated,5.98
1986,Unallocated,7.59
1987,Unallocated,7.0
1988,Unallocated,9.52
1989,Unallocated,9.71
1990,Unallocated,4.99
1991,Unallocated,7.23
1992,Unallocated,9.44
1993,Unallocated,8.35
1994,Unallocated,7.38
1995,Unallocated,-7.4
1996,Unallocated,-4.87
1997,Unallocated,9.38
1998,Unallocated,6.81
1999,Unallocated,13.15
2000,Unallocated,26.39
2001,Unallocated,19.52
2002,Unallocated,28.14
2003,Unallocated,19.36
2004,Unallocated,27.68
2005,Unallocated,35.96
2006,Unallocated,17.52
2007,Unallocated,14.08
2008,Unallocated,13.66
2009,Unallocated,-11.97
2010,Unallocated,-1.42
