EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,REGION,addr,Lat,Lng,STREET_new,ZIP_5,Coord
30261384,GREEN MOUNTAIN UNITED WAY,,1 CONTI CIRCLE,BARRE,VT,05641-9604,0,3,3,1000,197609,1,16,600000000,1,1,201706.0,5,5,1,0,6,584710.0,544930.0,544930.0,T70Z,,Northeast Area,"1 CONTI CIRCLE, BARRE, VT, 05641",44.174851,-72.493207,1 CONTI CIRCLE,05641,"(44.174851, -72.493207)"
36000224,UNITED WAY OF RUTLAND COUNTY VERMONT INC,,88 PARK ST,RUTLAND,VT,05701-4710,0,3,3,1000,197309,1,15,602000000,1,1,201708.0,4,4,1,0,8,393525.0,483005.0,471745.0,,,Northeast Area,"88 PARK ST, RUTLAND, VT, 05701",43.595359,-72.976885,88 PARK ST,05701,"(43.595359, -72.976885)"
42103940,UNITED WAY OF GREATER PLYMOUTH COUNTY INC,,934 W CHESTNUT ST FL 2,BROCKTON,MA,02301-5538,0,3,3,1000,199311,1,16,600000000,1,1,201706.0,6,6,1,0,6,2031938.0,2223911.0,2076167.0,,,Northeast Area,"934 W CHESTNUT ST, BROCKTON, MA, 02301",44.933143,7.540121,934 W CHESTNUT ST,02301,"(42.063292, -71.02032)"
42104017,UNITED WAY OF CENTRAL MASSACHUSETTS INC,% JAMES HAYES,484 MAIN ST STE 300,WORCESTER,MA,01608-1817,0,3,3,1000,196310,1,16,927600000,1,1,201706.0,8,8,1,0,6,10452160.0,11460997.0,7356714.0,,,Northeast Area,"484 MAIN ST, WORCESTER, MA, 01608",42.264066,-71.801912,484 MAIN ST,01608,"(42.264066, -71.801912)"
42104020,UNITED WAY OF GREATER ATTLEBORO- TAUNTON INC,,247 MAPLE STREET,ATTLEBORO,MA,02703-4243,0,3,3,1000,196810,1,15,0,1,1,201706.0,6,6,1,0,6,3452610.0,3264008.0,2322020.0,T124,,Northeast Area,"247 MAPLE STREET, ATTLEBORO, MA, 02703",41.935365,-71.274307,247 MAPLE STREET,02703,"(41.935365, -71.274307)"
42104231,UNITED WAY OF TRI COUNTY INC,% BRENDA LENOX,46 PARK ST ATTN BRENDA LENOX,FRAMINGHAM,MA,01702-6652,0,3,3,1000,196002,1,16,600927179,1,1,201706.0,7,7,1,0,6,5357438.0,9125191.0,8692743.0,T70Z,,Northeast Area,"46 PARK ST ATTN BRENDA LENOX, FRAMINGHAM, MA, 01702",44.933143,7.540121,46 PARK ST ATTN BRENDA LENOX,01702,
42104264,UNITED WAY OF GREATER NEW BEDFORD INC,,128 UNION ST STE 105,NEW BEDFORD,MA,02740-6387,0,3,3,1000,195310,1,15,600000000,1,1,201706.0,6,6,1,0,6,2947265.0,2955496.0,2599910.0,,,Northeast Area,"128 UNION ST, NEW BEDFORD, MA, 02740",41.632241,-70.945067,128 UNION ST,02740,"(41.632241, -70.945067)"
42104785,NORTHERN BERKSHIRE UNITED WAY INC,,85 MAIN STREET SUITE 408,NORTH ADAMS,MA,01247-3437,0,3,3,1000,194710,1,16,927000000,5,1,201706.0,5,4,1,0,6,634482.0,498661.0,412478.0,,,Northeast Area,"85 MAIN STREET, NORTH ADAMS, MA, 01247",42.6987202,-73.1099665,85 MAIN STREET,01247,"(42.6987202, -73.1099665)"
42104792,HAMPSHIRE COMMUNITY UNITED WAY,% VICTORIA LUCADELLO,71 KING ST,NORTHAMPTON,MA,01060-3275,0,3,3,1000,195508,1,16,602000000,1,1,201706.0,6,6,1,0,6,1680842.0,1370892.0,1221033.0,T70Z,,Northeast Area,"71 KING ST, NORTHAMPTON, MA, 01060",42.3315745,-72.6345147,71 KING ST,01060,"(42.3315745, -72.6345147)"
42104841,BERKSHIRE UNITED WAY INC,,200 SOUTH ST,PITTSFIELD,MA,01201-6807,0,3,3,1000,195809,1,15,600000000,1,1,201706.0,6,7,1,0,6,4784337.0,6137560.0,3982040.0,,,Northeast Area,"200 SOUTH ST, PITTSFIELD, MA, 01201",42.444212,-73.255123,200 SOUTH ST,01201,"(42.444212, -73.255123)"
42152680,COMMUNITY UNITED WAY OF PIONEER VALLEY INC,% CAROLYN CARROLL,1441 MAIN ST STE 147,SPRINGFIELD,MA,01103-1447,0,3,3,1000,197109,1,15,600000000,1,1,201706.0,7,6,1,0,6,6339254.0,4736118.0,3116110.0,P20,,Northeast Area,"1441 MAIN ST, SPRINGFIELD, MA, 01103",42.109375,-72.600988,1441 MAIN ST,01103,"(42.109375, -72.600988)"
42212894,UNITED WAY OF FRANKLIN COUNTY INC,,51 DAVIS ST,GREENFIELD,MA,01301-2422,0,3,3,1000,196005,1,15,927602000,1,1,201706.0,6,5,1,0,6,1022913.0,771505.0,746825.0,,,Northeast Area,"51 DAVIS ST, GREENFIELD, MA, 01301",42.587996,-72.601588,51 DAVIS ST,01301,"(42.587996, -72.601588)"
42233021,UNITED WAY OF NORTH CENTRAL MASS INC,,649 JOHN FITCH HWY,FITCHBURG,MA,01420-3689,0,3,3,1450,196203,1,16,904927356,1,1,201706.0,6,6,1,0,6,3953825.0,4078027.0,3710165.0,T70Z,,Northeast Area,"649 JOHN FITCH HWY, FITCHBURG, MA, 01420",42.586868,-71.780656,649 JOHN FITCH HWY,01420,"(42.586868, -71.780656)"
42257377,NORTH SHORE UNITED WAY INC,,248 CABOT ST,BEVERLY,MA,01915-4540,0,3,3,1000,195112,1,15,927000000,1,1,201506.0,6,6,0,0,6,2288074.0,2109152.0,1234904.0,T70Z,,Northeast Area,"248 CABOT ST, BEVERLY, MA, 01915",42.567784,-70.8885858,248 CABOT ST,01915,"(42.567784, -70.8885858)"
42308155,UNITED WAY OF SOUTHBRIDGE STURBRIDGE AND CHARLTON,,176 MAIN STREET,SOUTHBRIDGE,MA,01550-2561,0,3,3,1000,195009,1,16,600902000,1,1,201709.0,5,4,1,0,9,596688.0,326042.0,326042.0,T30J,,Northeast Area,"176 MAIN STREET, SOUTHBRIDGE, MA, 01550",42.079507,-72.04062,176 MAIN STREET,01550,"(42.079507, -72.04062)"
42382233,UNITED WAY OF MASSACHUSETTS BAY INC,% GREAT-WEST TRUST COMPANY LLC,51 SLEEPER STREET,BOSTON,MA,02210-1276,0,3,3,2000,196508,1,15,927602000,1,1,201706.0,9,9,1,0,6,59773831.0,50744452.0,42492819.0,T700,,Northeast Area,"51 SLEEPER STREET, BOSTON, MA, 02210",42.35252525,-71.0484933013639,51 SLEEPER STREET,02210,"(42.35252525, -71.0484933013639)"
42740795,UNITED WAY OF ACTON-BOXBOROUGH INC,,537 MASSACHUSETTS AVE STE 101,ACTON,MA,01720-2954,0,3,3,1000,198203,1,15,600995927,1,1,201706.0,4,4,1,0,6,159404.0,273858.0,261951.0,T70,,Northeast Area,"537 MASSACHUSETTS AVE, ACTON, MA, 01720",42.4762413,-71.4712454263832,537 MASSACHUSETTS AVE,01720,"(42.4762413, -71.4712454263832)"
43138780,UNITED WAYS OF MASSACHUSETTS INC,% UNITED WAY OF MASSACHUSETTS BAY,51 SLEEPER STREET,BOSTON,MA,02210-1276,0,3,3,1000,199302,1,15,205600000,1,1,201712.0,0,0,2,0,12,0.0,0.0,0.0,,,Northeast Area,"51 SLEEPER STREET, BOSTON, MA, 02210",42.35252525,-71.0484933013639,51 SLEEPER STREET,02210,"(42.35252525, -71.0484933013639)"
50276059,UNITED WAY OF RHODE ISLAND INC,,50 VALLEY STREET,PROVIDENCE,RI,02909-2496,0,3,3,1000,195508,1,15,600000000,1,1,201706.0,8,8,1,0,6,18057151.0,26220879.0,18053871.0,T700,,Northeast Area,"50 VALLEY STREET, PROVIDENCE, RI, 02909",41.8227183,-71.4398768,50 VALLEY STREET,02909,"(41.8227183, -71.4398768)"
60646577,UNITED WAY OF WESTERN CONNECTICUT INC,,301 MAIN STREET NO 2-5,DANBURY,CT,06810-5861,0,3,3,1000,194207,1,15,600927602,1,1,201706.0,6,7,1,0,6,4574333.0,6253136.0,5937125.0,T70,,Northeast Area,"301 MAIN STREET, DANBURY, CT, 06810",41.3967195,-73.4544150969485,301 MAIN STREET,06810,"(41.3967195, -73.4544150969485)"
60646578,UNITED WAY OF GREENWICH INC,,500 W PUTNAM AVE SUITE 415,GREENWICH,CT,06830-6086,0,3,3,1000,194101,1,16,600000000,1,1,201706.0,6,7,1,0,6,3783502.0,5264852.0,4794448.0,,,Northeast Area,"500 W PUTNAM AVE, GREENWICH, CT, 06830",44.933143,7.540121,500 W PUTNAM AVE,06830,
60646634,THE UNITED WAY OF GREATER WATERBURY INC,,100 NORTH ELM STREET NO FL 2,WATERBURY,CT,06702-1512,0,3,3,1000,194302,1,16,600000000,1,1,201806.0,6,6,1,0,6,4486854.0,4875542.0,4629591.0,,,Northeast Area,"100 NORTH ELM STREET, WATERBURY, CT, 06702",44.933143,7.540121,100 NORTH ELM STREET,06702,"(41.556782, -73.0352776)"
60646653,UNITED WAY INC,,30 LAUREL STREET,HARTFORD,CT,06106-1361,0,3,3,1000,193406,1,15,600000000,1,1,201706.0,8,8,1,0,6,35867372.0,26403392.0,22091576.0,T700,UNITED WAY OF CENT & NE CONNECTICUT,Northeast Area,"30 LAUREL STREET, HARTFORD, CT, 06106",44.933143,7.540121,30 LAUREL STREET,06106,"(41.7631141, -72.6970102)"
60646714,UNITED WAY OF MERIDEN AND WALLINGFORD INC,,35 PLEASANT ST STE 1E,MERIDEN,CT,06450-7596,0,3,3,1000,193411,1,15,600000000,1,1,201706.0,6,5,1,0,6,1075304.0,821688.0,778125.0,T700,,Northeast Area,"35 PLEASANT ST, MERIDEN, CT, 06450",41.5348383,-72.7986772,35 PLEASANT ST,06450,"(41.5348383, -72.7986772)"
60646761,UNITED WAY OF GREATER NEW HAVEN INC,,370 JAMES ST STE 403,NEW HAVEN,CT,06513-3091,0,3,3,1000,195305,1,15,600927000,1,1,201706.0,6,7,1,0,6,3390734.0,7837833.0,7371907.0,T70Z,,Northeast Area,"370 JAMES ST, NEW HAVEN, CT, 06513",41.3014286,-72.9021987,370 JAMES ST,06513,"(41.3014286, -72.9021987)"
60653262,UNITED WAY OF WEST CENTRAL CONNECTICUT,,10 MAIN ST,BRISTOL,CT,06010-6527,0,3,3,1000,196211,1,16,927000000,1,1,201706.0,6,5,1,0,6,1774871.0,967814.0,811209.0,T70Z,,Northeast Area,"10 MAIN ST, BRISTOL, CT, 06010",44.933143,7.540121,10 MAIN ST,06010,"(41.670981, -72.9430217)"
60665170,MIDDLESEX UNITED WAY INC,,100 RIVERVIEW CTR STE 230,MIDDLETOWN,CT,06457-3445,0,3,3,1000,195005,1,15,602000000,1,1,201806.0,6,6,1,0,6,2797223.0,1856078.0,1622371.0,T70Z,,Northeast Area,"100 RIVERVIEW CTR, MIDDLETOWN, CT, 06457",44.933143,7.540121,100 RIVERVIEW CTR,06457,
60724409,UNITED WAY OF MILFORD INC,,20 EVERGREEN AVE,MILFORD,CT,06460-4807,0,3,3,1000,197103,1,15,602000000,1,1,201612.0,6,5,1,0,12,1307877.0,868594.0,715559.0,T70Z,,Northeast Area,"20 EVERGREEN AVE, MILFORD, CT, 06460",44.933143,7.540121,20 EVERGREEN AVE,06460,"(41.22202, -73.0493256)"
60771393,UNITED WAY OF SOUTHEASTERN CONN INC,,283 STODDARDS WHARF RD,GALES FERRY,CT,06335-1131,0,3,3,1000,196903,1,15,600000000,1,1,201706.0,8,8,1,0,6,10288036.0,10450721.0,8942991.0,,,Northeast Area,"283 STODDARDS WHARF RD, GALES FERRY, CT, 06335",44.933143,7.540121,283 STODDARDS WHARF RD,06335,
60788028,UNITED WAY OF NAUGATUCK AND BEACON FALLS INC,,270 CHURCH ST,NAUGATUCK,CT,06770-4122,0,3,3,1000,196307,1,16,927000000,1,1,201712.0,4,5,1,0,12,496839.0,564706.0,451475.0,T70Z,,Northeast Area,"270 CHURCH ST, NAUGATUCK, CT, 06770",41.5070455,-73.0598713,270 CHURCH ST,06770,"(41.5070455, -73.0598713)"
60847098,VALLEY UNITED WAY INCORPORATED,,54 GROVE ST,SHELTON,CT,06484-4106,0,3,3,1000,196810,1,10,927602000,1,1,201706.0,5,6,1,0,6,816576.0,1107420.0,1107420.0,T70Z,,Northeast Area,"54 GROVE ST, SHELTON, CT, 06484",44.933143,7.540121,54 GROVE ST,06484,"(41.3110979, -73.0828034)"
60864341,UNITED WAY OF COASTAL FAIRFIELD COUNTY INC,,855 MAIN ST STE 10,BRIDGEPORT,CT,06604-4915,0,3,3,1000,193410,1,15,600927000,1,1,201706.0,7,7,1,0,6,7608508.0,5983667.0,5983667.0,T70,,Northeast Area,"855 MAIN ST, BRIDGEPORT, CT, 06604",44.933143,7.540121,855 MAIN ST,06604,"(41.1869798, -73.1939221)"
61045698,UNITED WAY OF THE DUTCHESS-ORANGE REGION INC,,75 MARKET ST,POUGHKEEPSIE,NY,12601-4015,0,3,3,1000,198207,1,15,600601000,1,1,201706.0,7,6,1,0,6,5493082.0,3168705.0,2811474.0,T70Z,,Northeast Area,"75 MARKET ST, POUGHKEEPSIE, NY, 12601",41.700842,-73.9306,75 MARKET ST,12601,"(41.700842, -73.9306)"
61084194,UNITED WAY OF CONNECTICUT,% UNIT,1344 SILAS DEANE HWY,ROCKY HILL,CT,06067-1342,0,3,3,1000,198504,1,15,569000000,1,1,201706.0,7,8,1,0,6,6933285.0,18057102.0,18057102.0,T70Z,,Northeast Area,"1344 SILAS DEANE HWY, ROCKY HILL, CT, 06067",44.933143,7.540121,1344 SILAS DEANE HWY,06067,
116042392,UNITED WAY OF LONG ISLAND,,819 GRAND BLVD,DEER PARK,NY,11729-5780,0,3,3,1000,196501,1,15,927602000,1,1,201706.0,8,8,1,0,6,11038039.0,16777730.0,16457556.0,,,Northeast Area,"819 GRAND BLVD, DEER PARK, NY, 11729",40.754563,-73.33914,819 GRAND BLVD,11729,"(40.754563, -73.33914)"
131997636,UNITED WAY OF WESTCHESTER AND PUTNAM INC,,336 CENTRAL PARK AVE,WHITE PLAINS,NY,10606-1502,2574,3,6,1000,197410,1,15,602600000,1,1,201706.0,6,8,1,0,6,4964452.0,11412060.0,11307653.0,T70Z,,Northeast Area,"336 CENTRAL PARK AVE, WHITE PLAINS, NY, 10606",41.034655,-73.783531,336 CENTRAL PARK AVE,10606,"(41.034655, -73.783531)"
132535262,UNITED WAY OF ROCKLAND COUNTY,,135 MAIN STREET 2ND FLOOR,NYACK,NY,10960-3115,0,3,3,1000,196511,1,16,602000000,1,1,201706.0,5,5,1,0,6,539907.0,700326.0,688794.0,T70Z,,Northeast Area,"135 MAIN STREET, NYACK, NY, 10960",44.933143,7.540121,135 MAIN STREET,10960,"(41.0905169, -73.916075)"
132617681,UNITED WAY OF NEW YORK CITY,,205 EAST 42ND STREET,NEW YORK,NY,10017-5773,0,3,3,1000,196810,1,15,602000000,1,1,201706.0,8,9,1,0,6,35875990.0,70177864.0,62476395.0,T700,,Northeast Area,"205 EAST 42ND STREET, NEW YORK, NY, 10017",40.750664,-73.9737941,205 EAST 42ND STREET,10017,"(40.750664, -73.9737941)"
141364505,UNITED WAY OF THE GREATER CAPITAL REGION INC,,1 UNITED WAY,ALBANY,NY,12205-5584,0,3,3,1000,194903,1,15,600000000,1,1,201706.0,7,7,1,0,6,7663495.0,5781659.0,5766295.0,P12,,Northeast Area,"1 UNITED WAY, ALBANY, NY, 12205",42.710561,-73.865377,1 UNITED WAY,12205,"(42.710561, -73.865377)"
141368185,UNITED WAY OF THE ADIRONDACK REGION INC,,45 TOM MILLER RD,PLATTSBURGH,NY,12901-1245,0,3,3,1000,197207,1,15,319927000,1,1,201712.0,6,5,1,0,12,1268685.0,784219.0,764675.0,T70Z,,Northeast Area,"45 TOM MILLER RD, PLATTSBURGH, NY, 12901",44.706966,-73.478027,45 TOM MILLER RD,12901,"(44.706966, -73.478027)"
141409654,UNITED WAY OF ULSTER COUNTY INC,% UNITED WAY OF ULSTER COUNTY,450 ALBANY AVE,KINGSTON,NY,12401-2139,0,3,3,1000,196606,1,15,59061000,1,1,201706.0,4,5,1,0,6,461292.0,926303.0,917196.0,T70Z,,Northeast Area,"450 ALBANY AVE, KINGSTON, NY, 12401",41.9326065,-74.011686,450 ALBANY AVE,12401,"(41.9326065, -74.011686)"
141705108,UNITED WAY OF NEW YORK STATE,,800 TROY SCHENECTADY RD,LATHAM,NY,12110-2424,0,3,3,1000,199112,1,16,995600603,1,1,201612.0,4,4,1,0,12,385486.0,460085.0,460085.0,T70Z,,Northeast Area,"800 TROY SCHENECTADY RD, LATHAM, NY, 12110",44.933143,7.540121,800 TROY SCHENECTADY RD,12110,"(42.7524524, -73.7674281)"
146022433,TRI-COUNTY UNITED WAY INC,,696 UPPER GLEN STREET,QUEENBSURY,NY,12804-2073,0,3,3,1000,195601,1,15,600602000,1,1,201706.0,6,5,1,0,6,1466579.0,799919.0,768003.0,,,Northeast Area,"696 UPPER GLEN STREET, QUEENBSURY, NY, 12804",44.933143,7.540121,696 UPPER GLEN STREET,12804,
150532074,UNITED WAY OF THE VALLEY & GREATER UTICA AREA INC,,201 LAFAYETTE ST,UTICA,NY,13502-4311,0,3,3,1000,195607,1,15,602000000,1,1,201706.0,6,6,1,0,6,3396129.0,2253357.0,2216256.0,T700,,Northeast Area,"201 LAFAYETTE ST, UTICA, NY, 13502",43.103815,-75.235965,201 LAFAYETTE ST,13502,"(43.103815, -75.235965)"
150532224,UNITED WAY OF GREATER OSWEGO COUNTY INC,,1 S FIRST ST,FULTON,NY,13069-1704,0,3,3,1000,196509,1,15,600602160,1,1,201712.0,5,4,1,0,12,733499.0,483026.0,451817.0,T70Z,,Northeast Area,"1 S FIRST ST, FULTON, NY, 13069",44.933143,7.540121,1 S FIRST ST,13069,
150543356,THE UNITED WAY OF NORTHERN NEW YORK INC,,200 WASHINGTON ST SUITE 402A,WATERTOWN,NY,13601-3307,0,3,3,1000,194210,1,15,600000000,1,1,201712.0,6,6,1,0,12,2214401.0,1656976.0,1098332.0,,,Northeast Area,"200 WASHINGTON ST, WATERTOWN, NY, 13601",43.97392885,-75.9115510317301,200 WASHINGTON ST,13601,"(43.97392885, -75.9115510317301)"
150547371,THE UNITED WAY OF ROME AND WESTERN ONEIDA COUNTY INC,,143 WEST DOMINICK STREET,ROME,NY,13440-5857,0,3,3,1000,194802,1,15,927602000,1,1,201712.0,5,5,1,0,12,814873.0,578706.0,213982.0,T70Z,,Northeast Area,"143 WEST DOMINICK STREET, ROME, NY, 13440",43.2133507,-75.4629398,143 WEST DOMINICK STREET,13440,"(43.2133507, -75.4629398)"
150564074,UNITED WAY OF BROOME COUNTY INC LISA BROOKS,,101 S JENSEN RD,VESTAL,NY,13850-2821,0,3,3,1000,194912,1,16,600927279,1,1,201706.0,8,8,1,0,6,30829711.0,11779288.0,1027070.0,T70Z,,Northeast Area,"101 S JENSEN RD, VESTAL, NY, 13850",44.933143,7.540121,101 S JENSEN RD,13850,
150572883,UNITED WAY OF TOMPKINS COUNTY INC,,313 N AURORA ST,ITHACA,NY,14850-4201,0,3,3,1000,195706,1,15,927602179,1,1,201706.0,6,6,1,0,6,2721802.0,2214397.0,1942894.0,T70Z,,Northeast Area,"313 N AURORA ST, ITHACA, NY, 14850",42.439831,-76.495646,313 N AURORA ST,14850,"(42.439831, -76.495646)"
150586252,UNITED WAY OF CAYUGA COUNTY INC,,17 E GENESEE ST STE 302,AUBURN,NY,13021-4045,0,3,3,1000,196503,1,16,927602160,1,1,201712.0,6,6,1,0,12,3037792.0,1409249.0,888966.0,T70Z,,Northeast Area,"17 E GENESEE ST, AUBURN, NY, 13021",42.934372,-76.541003,17 E GENESEE ST,13021,"(42.934372, -76.541003)"
150590181,TIOGA UNITED WAY INC,,24 STATE RT 96,OWEGO,NY,13827-2623,0,3,3,1000,197106,1,15,602000000,1,1,201612.0,5,4,1,0,12,675334.0,285424.0,285424.0,T70Z,,Northeast Area,"24 STATE RT 96, OWEGO, NY, 13827",44.933143,7.540121,24 STATE RT 96,13827,
160743969,UNITED WAY OF BUFFALO AND ERIE COUNTY,,742 DELAWARE AVE,BUFFALO,NY,14209-2202,0,3,3,1000,196009,1,15,600927000,1,1,201703.0,8,8,1,0,3,25501305.0,17968973.0,17045217.0,T700,,Northeast Area,"742 DELAWARE AVE, BUFFALO, NY, 14209",42.9131542,-78.8698191,742 DELAWARE AVE,14209,"(42.9131542, -78.8698191)"
160772743,UNITED WAY OF SOUTHERN CHAUTAUQUA COUNTY,,208 PINE ST,JAMESTOWN,NY,14701-5406,0,3,3,1000,195409,1,15,602000000,5,1,201806.0,6,6,1,0,6,3261407.0,1968289.0,1711591.0,T70Z,,Northeast Area,"208 PINE ST, JAMESTOWN, NY, 14701",42.0977659,-79.2404402,208 PINE ST,14701,"(42.0977659, -79.2404402)"
160780940,UNITED WAY OF THE TONAWANDAS INC,,6420 INDUCON DRIVE WEST,SANBORN,NY,14132-9025,0,3,3,1000,195409,1,15,600000000,1,1,201709.0,3,3,1,0,9,39171.0,97962.0,97391.0,,,Northeast Area,"6420 INDUCON DRIVE WEST, SANBORN, NY, 14132",44.933143,7.540121,6420 INDUCON DRIVE WEST,14132,
160803013,UNITED WAY OF GENESEE COUNTRY,,29 LIBERTY ST,BATAVIA,NY,14020-3250,9192,3,9,1000,198703,1,15,600000000,1,1,,0,0,1,0,3,,,,,,Northeast Area,"29 LIBERTY ST, BATAVIA, NY, 14020",42.99197,-78.180649,29 LIBERTY ST,14020,"(42.99197, -78.180649)"
160811787,UNITED WAY OF NORTHERN CHAUTAUQUA COUNTY,,626 CENTRAL AVE,DUNKIRK,NY,14048-2517,0,3,3,1000,195806,1,16,600000000,5,1,201712.0,5,4,1,0,12,779905.0,241740.0,241740.0,T70Z,,Northeast Area,"626 CENTRAL AVE, DUNKIRK, NY, 14048",42.481348,-79.33392,626 CENTRAL AVE,14048,"(42.481348, -79.33392)"
160865060,UNITED WAY OF ONTARIO COUNTY INC,,5297 PARKSIDE DR STE 440,CANANDAIGUA,NY,14424-7501,9192,3,9,1000,198703,1,15,600000000,5,1,,0,5,1,0,3,,,,,999,Northeast Area,"5297 PARKSIDE DR, CANANDAIGUA, NY, 14424",42.9121772,-77.2945312,5297 PARKSIDE DR,14424,"(42.9121772, -77.2945312)"
160929038,UNITED WAY OF DELAWARE & OTSEGOCOS INC,,31 MAPLE ST,ONEONTA,NY,13820-1940,0,3,3,1000,196902,1,16,600000000,1,1,201712.0,4,4,1,0,12,217268.0,128304.0,125737.0,T70Z,,Northeast Area,"31 MAPLE ST, ONEONTA, NY, 13820",42.461084,-75.059059,31 MAPLE ST,13820,"(42.461084, -75.059059)"
160929283,UNITED WAY OF SENECA COUNTY INCORPORATED,,21 E MAIN ST SUITE 215,WATERLOO,NY,13165-0000,0,3,3,1000,196708,1,15,602000000,1,1,201712.0,4,5,1,0,12,482359.0,513028.0,507764.0,,,Northeast Area,"21 E MAIN ST, WATERLOO, NY, 13165",42.90228,-76.853104,21 E MAIN ST,13165,"(42.90228, -76.853104)"
