Year,variable,value
1985,HumanServices,8.39
1986,HumanServices,8.43
1987,HumanServices,8.61
1988,HumanServices,9.22
1989,HumanServices,12.89
1990,HumanServices,12.55
1991,HumanServices,13.5
1992,HumanServices,15.97
1993,HumanServices,16.41
1994,HumanServices,15.99
1995,HumanServices,17.16
1996,HumanServices,18.71
1997,HumanServices,21.91
1998,HumanServices,24.54
1999,HumanServices,25.84
2000,HumanServices,29.59
2001,HumanServices,33.61
2002,HumanServices,30.95
2003,HumanServices,31.3
2004,HumanServices,33.87
2005,HumanServices,38.09
2006,HumanServices,37.38
2007,HumanServices,37.18
2008,HumanServices,40.35
2009,HumanServices,41.07
2010,HumanServices,41.34
2011,HumanServices,40.76
2012,HumanServices,43.92
2013,HumanServices,43.28
2014,HumanServices,45.12
2015,HumanServices,48.29
2016,HumanServices,48.66
2017,HumanServices,50.06
1977,HumanServices%Change,-4.5
1978,HumanServices%Change,-4.4
1979,HumanServices%Change,-8.2
1980,HumanServices%Change,-9.1
1981,HumanServices%Change,-6.5
1982,HumanServices%Change,-40.9
1983,HumanServices%Change,2.3
1984,HumanServices%Change,5.3
1985,HumanServices%Change,6.4
1986,HumanServices%Change,0.5
1987,HumanServices%Change,2.1
1988,HumanServices%Change,7.2
1989,HumanServices%Change,39.8
1990,HumanServices%Change,-2.6
1991,HumanServices%Change,7.6
1992,HumanServices%Change,18.3
1993,HumanServices%Change,2.8
1994,HumanServices%Change,-2.5
1995,HumanServices%Change,7.3
1996,HumanServices%Change,9.0
1997,HumanServices%Change,17.1
1998,HumanServices%Change,12.0
1999,HumanServices%Change,5.3
2000,HumanServices%Change,14.5
2001,HumanServices%Change,13.6
2002,HumanServices%Change,-7.9
2003,HumanServices%Change,1.1
2004,HumanServices%Change,8.2
2005,HumanServices%Change,12.5
2006,HumanServices%Change,-1.9
2007,HumanServices%Change,-0.5
2008,HumanServices%Change,8.5
2009,HumanServices%Change,1.8
2010,HumanServices%Change,0.7
2011,HumanServices%Change,-1.4
2012,HumanServices%Change,7.8
2013,HumanServices%Change,-1.5
2014,HumanServices%Change,4.2
2015,HumanServices%Change,7.0
2016,HumanServices%Change,0.8
2017,HumanServices%Change,2.9
1977,Health,15.89
1978,Health,15.41
1979,Health,14.46
1980,Health,13.33
1981,Health,12.48
1982,Health,7.77
1983,Health,8.52
1984,Health,9.13
1985,Health,10.46
1986,Health,9.77
1987,Health,10.16
1988,Health,11.59
1989,Health,12.69
1990,Health,14.54
1991,Health,13.73
1992,Health,14.88
1993,Health,14.92
1994,Health,14.85
1995,Health,28.83
1996,Health,28.68
1997,Health,20.8
1998,Health,19.2
1999,Health,19.98
2000,Health,21.78
2001,Health,22.72
2002,Health,21.39
2003,Health,23.69
2004,Health,24.73
2005,Health,25.52
2006,Health,29.45
2007,Health,29.89
2008,Health,27.48
2009,Health,29.8
2010,Health,31.12
2011,Health,28.18
2012,Health,27.95
2013,Health,33.94
2014,Health,34.33
2015,Health,35.38
2016,Health,36.41
2017,Health,38.27
1977,Health%Change,-1.3
1978,Health%Change,-3.1
1979,Health%Change,-6.2
1980,Health%Change,-7.8
1981,Health%Change,-6.3
1982,Health%Change,-37.7
1983,Health%Change,9.6
1984,Health%Change,7.2
1985,Health%Change,14.5
1986,Health%Change,-6.6
1987,Health%Change,4.0
1988,Health%Change,14.0
1989,Health%Change,9.6
1990,Health%Change,14.5
1991,Health%Change,-5.5
1992,Health%Change,8.4
1993,Health%Change,0.2
1994,Health%Change,-0.4
1995,Health%Change,94.1
1996,Health%Change,-0.5
1997,Health%Change,-27.5
1998,Health%Change,-7.7
1999,Health%Change,4.1
2000,Health%Change,9.0
2001,Health%Change,4.3
2002,Health%Change,-5.8
2003,Health%Change,10.7
2004,Health%Change,4.4
2005,Health%Change,3.2
2006,Health%Change,15.4
2007,Health%Change,1.5
2008,Health%Change,-8.0
2009,Health%Change,8.4
2010,Health%Change,4.4
2011,Health%Change,-9.4
2012,Health%Change,-0.8
2013,Health%Change,21.4
2014,Health%Change,1.1
2015,Health%Change,3.1
2016,Health%Change,2.9
2017,Health%Change,5.1
1977,PublicSocietyBenefit,5.22
1978,PublicSocietyBenefit,5.64
1979,PublicSocietyBenefit,6.15
1980,PublicSocietyBenefit,6.78
1981,PublicSocietyBenefit,5.74
1982,PublicSocietyBenefit,8.15
1983,PublicSocietyBenefit,9.28
1984,PublicSocietyBenefit,11.04
1985,PublicSocietyBenefit,9.32
1986,PublicSocietyBenefit,17.13
1987,PublicSocietyBenefit,10.48
1988,PublicSocietyBenefit,10.78
1989,PublicSocietyBenefit,11.9
1990,PublicSocietyBenefit,12.31
1991,PublicSocietyBenefit,12.11
1992,PublicSocietyBenefit,12.49
1993,PublicSocietyBenefit,14.03
1994,PublicSocietyBenefit,13.41
1995,PublicSocietyBenefit,14.09
1996,PublicSocietyBenefit,14.69
1997,PublicSocietyBenefit,17.15
1998,PublicSocietyBenefit,18.81
1999,PublicSocietyBenefit,19.98
2000,PublicSocietyBenefit,21.35
2001,PublicSocietyBenefit,22.92
2002,PublicSocietyBenefit,19.38
2003,PublicSocietyBenefit,21.27
2004,PublicSocietyBenefit,22.92
2005,PublicSocietyBenefit,26.06
2006,PublicSocietyBenefit,28.16
2007,PublicSocietyBenefit,23.63
2008,PublicSocietyBenefit,20.44
2009,PublicSocietyBenefit,19.78
2010,PublicSocietyBenefit,21.59
2011,PublicSocietyBenefit,23.27
2012,PublicSocietyBenefit,24.43
2013,PublicSocietyBenefit,25.53
2014,PublicSocietyBenefit,26.62
2015,PublicSocietyBenefit,27.77
2016,PublicSocietyBenefit,28.04
2017,PublicSocietyBenefit,29.59
1977,PublicSocietyBenefit%Change,-18.2
1978,PublicSocietyBenefit%Change,8.0
1979,PublicSocietyBenefit%Change,9.1
1980,PublicSocietyBenefit%Change,10.3
1981,PublicSocietyBenefit%Change,-15.3
1982,PublicSocietyBenefit%Change,42.0
1983,PublicSocietyBenefit%Change,13.8
1984,PublicSocietyBenefit%Change,19.0
1985,PublicSocietyBenefit%Change,-15.6
1986,PublicSocietyBenefit%Change,83.8
1987,PublicSocietyBenefit%Change,-38.8
1988,PublicSocietyBenefit%Change,2.8
1989,PublicSocietyBenefit%Change,10.4
1990,PublicSocietyBenefit%Change,3.4
1991,PublicSocietyBenefit%Change,-1.6
1992,PublicSocietyBenefit%Change,3.1
1993,PublicSocietyBenefit%Change,12.3
1994,PublicSocietyBenefit%Change,-4.4
1995,PublicSocietyBenefit%Change,5.1
1996,PublicSocietyBenefit%Change,4.2
1997,PublicSocietyBenefit%Change,16.7
1998,PublicSocietyBenefit%Change,9.7
1999,PublicSocietyBenefit%Change,6.2
2000,PublicSocietyBenefit%Change,6.8
2001,PublicSocietyBenefit%Change,7.4
2002,PublicSocietyBenefit%Change,-15.5
2003,PublicSocietyBenefit%Change,9.7
2004,PublicSocietyBenefit%Change,7.8
2005,PublicSocietyBenefit%Change,13.7
2006,PublicSocietyBenefit%Change,8.1
2007,PublicSocietyBenefit%Change,-16.1
2008,PublicSocietyBenefit%Change,-13.5
2009,PublicSocietyBenefit%Change,-3.2
2010,PublicSocietyBenefit%Change,9.2
2011,PublicSocietyBenefit%Change,7.7
2012,PublicSocietyBenefit%Change,5.0
2013,PublicSocietyBenefit%Change,4.5
2014,PublicSocietyBenefit%Change,4.2
2015,PublicSocietyBenefit%Change,4.3
2016,PublicSocietyBenefit%Change,1.0
2017,PublicSocietyBenefit%Change,5.5
1977,ArtsCultureHumanities,7.44
1978,ArtsCultureHumanities,7.03
1979,ArtsCultureHumanities,6.69
1980,ArtsCultureHumanities,6.31
1981,ArtsCultureHumanities,6.15
1982,ArtsCultureHumanities,2.46
1983,ArtsCultureHumanities,3.47
1984,ArtsCultureHumanities,3.99
1985,ArtsCultureHumanities,4.31
1986,ArtsCultureHumanities,5.59
1987,ArtsCultureHumanities,5.61
1988,ArtsCultureHumanities,6.24
1989,ArtsCultureHumanities,6.76
1990,ArtsCultureHumanities,6.92
1991,ArtsCultureHumanities,6.88
1992,ArtsCultureHumanities,7.27
1993,ArtsCultureHumanities,7.23
1994,ArtsCultureHumanities,7.61
1995,ArtsCultureHumanities,8.51
1996,ArtsCultureHumanities,9.35
1997,ArtsCultureHumanities,10.96
1998,ArtsCultureHumanities,12.18
1999,ArtsCultureHumanities,12.95
2000,ArtsCultureHumanities,15.03
2001,ArtsCultureHumanities,13.47
2002,ArtsCultureHumanities,13.53
2003,ArtsCultureHumanities,14.8
2004,ArtsCultureHumanities,14.57
2005,ArtsCultureHumanities,15.6
2006,ArtsCultureHumanities,16.93
2007,ArtsCultureHumanities,17.64
2008,ArtsCultureHumanities,13.99
2009,ArtsCultureHumanities,14.38
2010,ArtsCultureHumanities,15.04
2011,ArtsCultureHumanities,13.97
2012,ArtsCultureHumanities,14.83
2013,ArtsCultureHumanities,15.41
2014,ArtsCultureHumanities,16.47
2015,ArtsCultureHumanities,18.21
2016,ArtsCultureHumanities,18.33
2017,ArtsCultureHumanities,19.51
1977,ArtsCultureHumanities%Change,12.2
1978,ArtsCultureHumanities%Change,-5.6
1979,ArtsCultureHumanities%Change,-4.8
1980,ArtsCultureHumanities%Change,-5.7
1981,ArtsCultureHumanities%Change,-2.5
1982,ArtsCultureHumanities%Change,-59.9
1983,ArtsCultureHumanities%Change,40.8
1984,ArtsCultureHumanities%Change,14.9
1985,ArtsCultureHumanities%Change,8.0
1986,ArtsCultureHumanities%Change,29.8
1987,ArtsCultureHumanities%Change,0.3
1988,ArtsCultureHumanities%Change,11.2
1989,ArtsCultureHumanities%Change,8.4
1990,ArtsCultureHumanities%Change,2.4
1991,ArtsCultureHumanities%Change,-0.7
1992,ArtsCultureHumanities%Change,5.7
1993,ArtsCultureHumanities%Change,-0.5
1994,ArtsCultureHumanities%Change,5.2
1995,ArtsCultureHumanities%Change,11.9
1996,ArtsCultureHumanities%Change,9.8
1997,ArtsCultureHumanities%Change,17.3
1998,ArtsCultureHumanities%Change,11.1
1999,ArtsCultureHumanities%Change,6.3
2000,ArtsCultureHumanities%Change,16.1
2001,ArtsCultureHumanities%Change,-10.4
2002,ArtsCultureHumanities%Change,0.5
2003,ArtsCultureHumanities%Change,9.4
2004,ArtsCultureHumanities%Change,-1.6
2005,ArtsCultureHumanities%Change,7.1
2006,ArtsCultureHumanities%Change,8.5
2007,ArtsCultureHumanities%Change,4.2
2008,ArtsCultureHumanities%Change,-20.7
2009,ArtsCultureHumanities%Change,2.8
2010,ArtsCultureHumanities%Change,4.6
2011,ArtsCultureHumanities%Change,-7.1
2012,ArtsCultureHumanities%Change,6.1
2013,ArtsCultureHumanities%Change,3.9
2014,ArtsCultureHumanities%Change,6.9
2015,ArtsCultureHumanities%Change,10.6
2016,ArtsCultureHumanities%Change,0.6
2017,ArtsCultureHumanities%Change,6.4
1977,InternationalAffairs,
1978,InternationalAffairs,
1979,InternationalAffairs,
1980,InternationalAffairs,
1981,InternationalAffairs,
1982,InternationalAffairs,
1983,InternationalAffairs,
1984,InternationalAffairs,
1985,InternationalAffairs,
1986,InternationalAffairs,
1987,InternationalAffairs,3.13
1988,InternationalAffairs,3.03
1989,InternationalAffairs,3.24
1990,InternationalAffairs,3.86
1991,InternationalAffairs,2.92
1992,InternationalAffairs,3.7
1993,InternationalAffairs,3.29
1994,InternationalAffairs,4.08
1995,InternationalAffairs,4.23
1996,InternationalAffairs,4.67
1997,InternationalAffairs,4.79
1998,InternationalAffairs,6.18
1999,InternationalAffairs,7.89
2000,InternationalAffairs,8.94
2001,InternationalAffairs,9.25
2002,InternationalAffairs,10.86
2003,InternationalAffairs,12.58
2004,InternationalAffairs,14.95
2005,InternationalAffairs,15.95
2006,InternationalAffairs,16.43
2007,InternationalAffairs,18.66
2008,InternationalAffairs,23.42
2009,InternationalAffairs,18.73
2010,InternationalAffairs,15.61
2011,InternationalAffairs,16.54
2012,InternationalAffairs,17.09
2013,InternationalAffairs,20.43
2014,InternationalAffairs,21.02
2015,InternationalAffairs,24.47
2016,InternationalAffairs,24.54
2017,InternationalAffairs,22.97
1977,InternationalAffairs%Change,
1978,InternationalAffairs%Change,
1979,InternationalAffairs%Change,
1980,InternationalAffairs%Change,
1981,InternationalAffairs%Change,
1982,InternationalAffairs%Change,
1983,InternationalAffairs%Change,
1984,InternationalAffairs%Change,
1985,InternationalAffairs%Change,
1986,InternationalAffairs%Change,
1987,InternationalAffairs%Change,
1988,InternationalAffairs%Change,-3.3
1989,InternationalAffairs%Change,7.2
1990,InternationalAffairs%Change,19.2
1991,InternationalAffairs%Change,-24.6
1992,InternationalAffairs%Change,27.0
1993,InternationalAffairs%Change,-11.1
1994,InternationalAffairs%Change,24.1
1995,InternationalAffairs%Change,3.6
1996,InternationalAffairs%Change,10.5
1997,InternationalAffairs%Change,2.6
1998,InternationalAffairs%Change,28.9
1999,InternationalAffairs%Change,27.6
2000,InternationalAffairs%Change,13.3
2001,InternationalAffairs%Change,3.4
2002,InternationalAffairs%Change,17.4
2003,InternationalAffairs%Change,15.8
2004,InternationalAffairs%Change,18.9
2005,InternationalAffairs%Change,6.7
2006,InternationalAffairs%Change,3.0
2007,InternationalAffairs%Change,13.6
2008,InternationalAffairs%Change,25.5
2009,InternationalAffairs%Change,-20.0
2010,InternationalAffairs%Change,-16.6
2011,InternationalAffairs%Change,5.9
2012,InternationalAffairs%Change,3.3
2013,InternationalAffairs%Change,19.5
2014,InternationalAffairs%Change,2.9
2015,InternationalAffairs%Change,16.4
2016,InternationalAffairs%Change,0.3
2017,InternationalAffairs%Change,-6.4
1977,EnvironmentAnimals,
1978,EnvironmentAnimals,
1979,EnvironmentAnimals,
1980,EnvironmentAnimals,
1981,EnvironmentAnimals,
1982,EnvironmentAnimals,
1983,EnvironmentAnimals,
1984,EnvironmentAnimals,
1985,EnvironmentAnimals,
1986,EnvironmentAnimals,
1987,EnvironmentAnimals,1.81
1988,EnvironmentAnimals,1.95
1989,EnvironmentAnimals,2.14
1990,EnvironmentAnimals,2.42
1991,EnvironmentAnimals,2.68
1992,EnvironmentAnimals,2.78
1993,EnvironmentAnimals,3.04
1994,EnvironmentAnimals,3.29
1995,EnvironmentAnimals,3.59
1996,EnvironmentAnimals,4.06
1997,EnvironmentAnimals,4.44
1998,EnvironmentAnimals,5.7
1999,EnvironmentAnimals,6.65
2000,EnvironmentAnimals,6.93
2001,EnvironmentAnimals,7.34
2002,EnvironmentAnimals,6.35
2003,EnvironmentAnimals,6.64
2004,EnvironmentAnimals,7.5
2005,EnvironmentAnimals,8.12
2006,EnvironmentAnimals,8.99
2007,EnvironmentAnimals,9.52
2008,EnvironmentAnimals,8.78
2009,EnvironmentAnimals,8.36
2010,EnvironmentAnimals,8.91
2011,EnvironmentAnimals,8.89
2012,EnvironmentAnimals,9.52
2013,EnvironmentAnimals,9.01
2014,EnvironmentAnimals,9.9
2015,EnvironmentAnimals,10.97
2016,EnvironmentAnimals,11.27
2017,EnvironmentAnimals,11.83
1977,EnvironmentAnimals%Change,
1978,EnvironmentAnimals%Change,
1979,EnvironmentAnimals%Change,
1980,EnvironmentAnimals%Change,
1981,EnvironmentAnimals%Change,
1982,EnvironmentAnimals%Change,
1983,EnvironmentAnimals%Change,
1984,EnvironmentAnimals%Change,
1985,EnvironmentAnimals%Change,
1986,EnvironmentAnimals%Change,
1987,EnvironmentAnimals%Change,
1988,EnvironmentAnimals%Change,7.5
1989,EnvironmentAnimals%Change,9.6
1990,EnvironmentAnimals%Change,13.3
1991,EnvironmentAnimals%Change,10.8
1992,EnvironmentAnimals%Change,3.6
1993,EnvironmentAnimals%Change,9.4
1994,EnvironmentAnimals%Change,8.3
1995,EnvironmentAnimals%Change,9.0
1996,EnvironmentAnimals%Change,13.3
1997,EnvironmentAnimals%Change,9.4
1998,EnvironmentAnimals%Change,28.3
1999,EnvironmentAnimals%Change,16.7
2000,EnvironmentAnimals%Change,4.2
2001,EnvironmentAnimals%Change,5.8
2002,EnvironmentAnimals%Change,-13.4
2003,EnvironmentAnimals%Change,4.5
2004,EnvironmentAnimals%Change,13.0
2005,EnvironmentAnimals%Change,8.3
2006,EnvironmentAnimals%Change,10.6
2007,EnvironmentAnimals%Change,5.9
2008,EnvironmentAnimals%Change,-7.8
2009,EnvironmentAnimals%Change,-4.7
2010,EnvironmentAnimals%Change,6.6
2011,EnvironmentAnimals%Change,-0.2
2012,EnvironmentAnimals%Change,7.1
2013,EnvironmentAnimals%Change,-5.4
2014,EnvironmentAnimals%Change,9.9
2015,EnvironmentAnimals%Change,10.8
2016,EnvironmentAnimals%Change,2.7
2017,EnvironmentAnimals%Change,5.0
1977,GiftstoFoundations,
1978,GiftstoFoundations,6.05
1979,GiftstoFoundations,7.46
1980,GiftstoFoundations,5.89
1981,GiftstoFoundations,6.44
1982,GiftstoFoundations,10.16
1983,GiftstoFoundations,6.67
1984,GiftstoFoundations,7.93
1985,GiftstoFoundations,10.78
1986,GiftstoFoundations,11.09
1987,GiftstoFoundations,11.13
1988,GiftstoFoundations,8.15
1989,GiftstoFoundations,8.72
1990,GiftstoFoundations,7.19
1991,GiftstoFoundations,8.03
1992,GiftstoFoundations,8.75
1993,GiftstoFoundations,10.62
1994,GiftstoFoundations,10.47
1995,GiftstoFoundations,13.61
1996,GiftstoFoundations,19.74
1997,GiftstoFoundations,21.32
1998,GiftstoFoundations,29.95
1999,GiftstoFoundations,42.33
2000,GiftstoFoundations,35.18
2001,GiftstoFoundations,35.54
2002,GiftstoFoundations,26.11
2003,GiftstoFoundations,28.81
2004,GiftstoFoundations,26.37
2005,GiftstoFoundations,30.7
2006,GiftstoFoundations,32.95
2007,GiftstoFoundations,44.53
2008,GiftstoFoundations,34.31
2009,GiftstoFoundations,37.01
2010,GiftstoFoundations,29.31
2011,GiftstoFoundations,32.91
2012,GiftstoFoundations,42.84
2013,GiftstoFoundations,42.96
2014,GiftstoFoundations,45.34
2015,GiftstoFoundations,39.77
2016,GiftstoFoundations,40.57
2017,GiftstoFoundations,45.89
1977,GiftstoFoundations%Change,
1978,GiftstoFoundations%Change,
1979,GiftstoFoundations%Change,23.4
1980,GiftstoFoundations%Change,-21.1
1981,GiftstoFoundations%Change,9.4
1982,GiftstoFoundations%Change,57.7
1983,GiftstoFoundations%Change,-34.4
1984,GiftstoFoundations%Change,18.9
1985,GiftstoFoundations%Change,36.0
1986,GiftstoFoundations%Change,2.9
1987,GiftstoFoundations%Change,0.4
1988,GiftstoFoundations%Change,-26.8
1989,GiftstoFoundations%Change,7.0
1990,GiftstoFoundations%Change,-17.6
1991,GiftstoFoundations%Change,11.7
1992,GiftstoFoundations%Change,9.0
1993,GiftstoFoundations%Change,21.4
1994,GiftstoFoundations%Change,-1.5
1995,GiftstoFoundations%Change,30.0
1996,GiftstoFoundations%Change,45.0
1997,GiftstoFoundations%Change,8.0
1998,GiftstoFoundations%Change,40.5
1999,GiftstoFoundations%Change,41.3
2000,GiftstoFoundations%Change,-16.9
2001,GiftstoFoundations%Change,1.0
2002,GiftstoFoundations%Change,-26.5
2003,GiftstoFoundations%Change,10.3
2004,GiftstoFoundations%Change,-8.5
2005,GiftstoFoundations%Change,16.4
2006,GiftstoFoundations%Change,7.3
2007,GiftstoFoundations%Change,35.1
2008,GiftstoFoundations%Change,-23.0
2009,GiftstoFoundations%Change,7.9
2010,GiftstoFoundations%Change,-20.8
2011,GiftstoFoundations%Change,12.3
2012,GiftstoFoundations%Change,30.2
2013,GiftstoFoundations%Change,0.3
2014,GiftstoFoundations%Change,5.5
2015,GiftstoFoundations%Change,-12.3
2016,GiftstoFoundations%Change,2.0
2017,GiftstoFoundations%Change,13.1
1977,GiftstoIndividuals,
1978,GiftstoIndividuals,
1979,GiftstoIndividuals,
1980,GiftstoIndividuals,
1981,GiftstoIndividuals,
1982,GiftstoIndividuals,
1983,GiftstoIndividuals,
1984,GiftstoIndividuals,
1985,GiftstoIndividuals,
1986,GiftstoIndividuals,
1987,GiftstoIndividuals,
1988,GiftstoIndividuals,
1989,GiftstoIndividuals,
1990,GiftstoIndividuals,
1991,GiftstoIndividuals,
1992,GiftstoIndividuals,
1993,GiftstoIndividuals,
1994,GiftstoIndividuals,
1995,GiftstoIndividuals,
1996,GiftstoIndividuals,
1997,GiftstoIndividuals,
1998,GiftstoIndividuals,
1999,GiftstoIndividuals,
2000,GiftstoIndividuals,
2001,GiftstoIndividuals,
2002,GiftstoIndividuals,
2003,GiftstoIndividuals,
2004,GiftstoIndividuals,2.26
2005,GiftstoIndividuals,3.9
2006,GiftstoIndividuals,4.66
2007,GiftstoIndividuals,3.98
2008,GiftstoIndividuals,4.1
2009,GiftstoIndividuals,4.8
2010,GiftstoIndividuals,5.49
2011,GiftstoIndividuals,6.65
2012,GiftstoIndividuals,6.23
2013,GiftstoIndividuals,7.6
2014,GiftstoIndividuals,7.07
2015,GiftstoIndividuals,7.08
2016,GiftstoIndividuals,10.14
2017,GiftstoIndividuals,7.87
1977,Unallocated,12.86
1978,Unallocated,9.77
1979,Unallocated,12.29
1980,Unallocated,17.91
1981,Unallocated,22.32
1982,Unallocated,26.14
1983,Unallocated,24.76
1984,Unallocated,18.64
1985,Unallocated,13.63
1986,Unallocated,16.97
1987,Unallocated,15.1
1988,Unallocated,19.73
1989,Unallocated,19.2
1990,Unallocated,9.36
1991,Unallocated,13.01
1992,Unallocated,16.49
1993,Unallocated,14.17
1994,Unallocated,12.2
1995,Unallocated,-11.9
1996,Unallocated,-7.61
1997,Unallocated,14.32
1998,Unallocated,10.24
1999,Unallocated,19.35
2000,Unallocated,37.56
2001,Unallocated,27.02
2002,Unallocated,38.34
2003,Unallocated,25.79
2004,Unallocated,35.92
2005,Unallocated,45.14
2006,Unallocated,21.3
