created_at,text
2018-11-20 17:26:00,"Take a break from your busy day and read 8 stories about the unexpected kindness of strangers. 

Check out @lindsaygholmes's article via @HuffPost below! ?? 
https://t.co/ZnFeF8nvp9"
2018-11-20 15:15:40,"#GiveUnited on #GivingTuesday. YOU can change a life by giving a free ride to someone in need through our 2-1-1 + @lyft partnership. 

Your donation will provide rides to job interviews, medical appointments &amp; other important obligations for those in need. https://t.co/dsBrCRlyVV https://t.co/UGYbKOeq8S"
2018-11-20 14:52:05,"Do you qualify for a discount on health insurance? Most people do! 

Explore your options TODAY to see how affordable it is for you to #GetCovered. #EnrollByDec15 

https://t.co/uy5kN06Fie https://t.co/RbdveZzoIN"
2018-11-19 19:23:00,"We believe all children deserve a strong start in life with a solid foundation for success, which includes healthy bodies and minds. ??

https://t.co/DpwyCuPDq8"
2018-11-19 15:48:09,"By 2028, United Way aims for 90% of people in the U.S. to be healthier. 

Read more: https://t.co/okpoWIf6us https://t.co/Y2SW5Wb4mQ"
2018-11-17 17:30:12,"We are grateful for our partners like, @LillyPad, who help make our communities brighter and better. https://t.co/rwpmawqc5d"
2018-11-17 14:15:05,"Help support California Wildfire victims TODAY (11/17), by coming into any Central LA, Northern LA, or Sacramento Chipotle location. 

50% of every purchase from open to close will be donated to United Way to assist victims across California. https://t.co/uDiNXTLd2B https://t.co/W1BXKJxZ8t"
2018-11-16 21:07:00,"Check out 10 important causes to donate to during #GivingTuesday. 

Read the full article by @YvetteManes via @thisisinsider. ?

https://t.co/DK3xmASpuS"
2018-11-16 20:05:04,"YOU can help. Read a few ways how you can help those affected by the California #wildfires via @Cosmopolitan. ?

https://t.co/WgBbXIA6X6"
2018-11-16 15:20:04,"We are grateful for @FedEx employees who #LiveUnited! 

Thank you for joining our mission to help every person, in every community. #FedExLivesUnited https://t.co/7iRyfoR3gJ"
2018-11-15 17:47:02,"Imagine if we start asking for help—for ourselves and our loved ones—instead of staying quiet. 

Let’s start talking so we can start changing.

https://t.co/sKpqYyVVzE"
2018-11-15 15:11:28,Happy #NationalPhilanthropyDay to all of YOU. Thank you for voting us America's Favorite Charity &lt;3 https://t.co/WnnoVYN6Je
2018-11-15 14:35:01,"#TBT to @Uticanational's workplace campaign.

The two campaign co-chairs, Vin Riker and Ed Smith, show off the company's 1977 campaign success. https://t.co/N5OYkA7i3l"
2018-11-14 23:49:34,Help those impacted by #wildfires in California: donate to @vcunitedway @LAUnitedWay @unitedwaynorcal at https://t.co/uC87eDW5Ym  #HillFire #WoolseyFire #CampFire https://t.co/ihr20dyQKI
2018-11-14 15:15:02,"Many experts on kids and media are also parents themselves. Check out what they said about screen time rules at home. ?? 

Via @NPR 

https://t.co/erokQwtlDF"
2018-11-14 13:53:09,".@lyft Activates 'Relief Rides' for #Wildfire Victims, Announces 'Round Up &amp; Donate' Milestone via @cheddar https://t.co/EzJmX4LXuJ #WoolseyFire #CampFire #HillFire"
2018-11-14 13:46:24,"Thank you to our partner, @lyft! https://t.co/1MOie7MBIv"
2018-11-14 13:45:35,These 4 Sources Help Pay for #Childcare by @nicolefdow of @thepennyhoarder: https://t.co/yk6yNXfAWR
2018-11-13 17:25:02,"Have you ever wondered how childhood trauma manifests itself in adulthood? @DrBurkeHarris speaks about the effect of adverse childhood experiences on lifelong #health. 

Watch her @TEDTalks below. ?? 

https://t.co/lp5xj4KxuF"
2018-11-13 02:39:47,Help those impacted by #wildfires in California: donate to @vcunitedway @LAUnitedWay @unitedwaynorcal at https://t.co/uC87eDW5Ym #HillFire #WoolseyFire #CampFire
2018-11-12 18:52:01,"Join us for our upcoming #UnitedWayChat this Wednesday (11/14), 2pm ET. 

We'll be discussing how United Ways thank donors, volunteers, corporate partners, board members and more. Follow along here: https://t.co/A6J674fgqw https://t.co/NCtqRzQiEO"
2018-11-12 16:08:02,"Have you thought about how you can use your professional skills for good?

Partners like @DeloitteUS, @unitedwaychi and @uwnca have boosted efficiency and delivered solutions to community organizations. 

Read more: https://t.co/qvN6YnktE3 https://t.co/zBNSAdkoac"
2018-11-11 14:35:02,"Today and every day, we honor our veterans by helping them return to the communities they protected. 

Read the full story by @Rose_Lori: https://t.co/Uj5KkLkgn6

#VeteransDay #MissionUnited https://t.co/tFWO9kMFkl"
2018-11-08 16:34:01,"Today is a day to innovate. Inspire and prepare youth to succeed in STEM careers by volunteering with students both in and out of school. 

@UnitedWayMABay shares three ideas of how YOU can use your skills for good: https://t.co/jH5RCHcZDS

#STEMDay https://t.co/vBZUVzvDC0"
2018-11-08 14:17:02,"All signs are pointing upward. ?

Across the board, revenue increased at largest nonprofits. Read the full study by @mhrywna via the @NonProfitTimes: https://t.co/bbGmpFMP9b https://t.co/yYACBdYDht"
2018-11-07 20:59:28,"United Way's @Steve_Taylor_DC weighed in on the post-election outlook for charities in @philanthropy article by @AlexDanielsCOP and @JulianWyllie. 

Read the full story here: https://t.co/rbRyOFlXMD https://t.co/ZXlS0rNoYK"
2018-11-07 13:51:00,"'I just wanted to come down here and help, offer some hope, also serve in any way possible,' @juliuspeppers_ shares after assisting with recovery efforts. 

Read the full @TheUndefeated article by @Wright_One below! ? 

https://t.co/k5Aam8zDyV"
2018-11-06 17:35:00,"United Way is partnering with @MTV and @VoteTogetherUSA to celebrate voting! Join us by heading to the polls today! 

#VoteTogether #VoteUnited

https://t.co/9kyDpS8JJz"
2018-11-06 17:04:20,"This is what it looks like when you don't vote. ?

Need a ride to the polls? Our friends at @lyft are offering rides to the polls 50% off. Get your promo code: https://t.co/xtyOP0Ni9v 

#voteunited #votetogether #govote #electionday #theridetovote

https://t.co/IX7YR3rmZk"
2018-11-05 21:25:01,"This #GivingTuesday, you can change a life by giving a free ride to someone in need through our 2-1-1 + @lyft partnership. 

Stay tuned in the coming weeks for more info! https://t.co/TkX3kix9d9"
2018-11-01 16:30:11,The open enrollment period to sign up for health insurance starts TODAY! Go to https://t.co/5ITGR6uXXJ to shop for a plan. #GetCovered and #EnrollByDec15 https://t.co/1xhLdWKgk7
2018-11-01 14:16:00,"According to @NIMHgov, 1 in 5 adults in America experiences mental illness.

Learn how you can help by speaking up. More below ?

https://t.co/sKpqYyVVzE"
2018-10-31 19:38:21,"We creep it real at United Way. Thanks to our fangtastic communities around the globe who help create opportunities for all. You are unBOOlievable! 

Make a difference in your community, find your United Way: https://t.co/UNVk4kJYFG

#SquadGhouls #HappyHalloween #Halloween2018 https://t.co/pU4LAtTgVi"
2018-10-31 18:10:22,"Interested to hear about United Way's partnership with labor? Join us from 2-3pm EST today (10/31) at #UnitedWayChat. 

Check it out here: https://t.co/A6J674fgqw"
2018-10-30 15:24:01,"At Academia del Pueblo, about 80+ students identify as homeless.

Learn how @myvsuw partners with leaders like Principal Frank to break the cycle of poverty and help kids succeed: https://t.co/j1oBvuiUja https://t.co/xwwQL5PgS8"
2018-10-30 13:46:26,"We are truly honored to be recognized as America's Favorite Charity. On behalf of the 61 million people across the globe for whom we fight, thank you. https://t.co/3EnQfXUQyf @philanthropy #AmericasFavoriteCharities"
2018-10-29 16:13:27,"“@lyft is an outstanding partner to @UnitedWay. They share our vision of building stronger communities for all.” 

— @BGallagherUW, President and CEO of United Way Worldwide

https://t.co/Hb05qpV944"
2018-10-29 14:02:18,"? THIS WEEK ONLY ?

@amazonsmile is donating 5% to @UnitedWay when you shop at https://t.co/ZVfGsyG7Yo. 

#AmazonSmile #StartWithaSmile https://t.co/ZnBjp25jID"
2018-10-28 21:14:00,"Have you ever wondered how childhood trauma manifests itself in adulthood? @DrBurkeHarris speaks about the effect of adverse childhood experiences on lifelong #health. 

Watch her @TEDTalks below. ?? 

https://t.co/lp5xj4KxuF"
2018-10-25 14:15:10,"North Carolina native, @juliuspeppers_, understands the need to support a community. 

He wants to create a legacy off the filed by 'helping, serving, and getting out in the community to be able to help.'

Read the full story by @Wright_One below! 

https://t.co/k5Aam8zDyV"
2018-10-24 18:11:02,"We're thrilled to announce @lyft has chosen @SalesforceOrg #PhilanthropyCloud to empower its corporate philanthropy and employee engagement. 

Together, we're connecting people to purpose. Read more. ? 
https://t.co/KnMURSwVrt https://t.co/a1kpA1FNtX"
2018-10-24 16:03:20,"We’re all in this together. Every person in every community shares responsibility for building a stronger future. That's why we’ve addressed 11 of the 17 SDGs as part of our impact work. 

Learn how @UnitedWay aims to achieve the global goals. ?  
https://t.co/842b3dRvjB

#UNDay https://t.co/HAg7Y6FL72"
2018-10-23 18:09:00,"United Way is creating a culture of game changers.  

Read more via @HarvardBiz ?? 

https://t.co/x5bnX6HdLH"
2018-10-23 15:24:02,"When it comes to accessing health services, a person’s zip code can be a barrier.

@UnitedWay is fighting to help everyone get—and stay—healthy. Learn more about our focus on health. Learn more here: https://t.co/ANR7JJ8DIM

?: @unitedwaypanama https://t.co/cuE5q6uuH0"
2018-10-23 13:57:56,"Are you up for the challenge? @UnitedWay and the @NFL are challenging YOU to bully-proof your school. Learn more: https://t.co/4ChWybMq73 

#BullyProofSchools https://t.co/GcV8wSTOw9"
2018-10-22 13:17:05,"Color your world, make it yours. 

?? ? ? ? ? ?? ? ? ? 

?: @unitedwayatl 
-
#colorday #mondaymotivation https://t.co/G3dD3IHoYK"
2018-10-20 23:41:00,"We are challenging the status quo, dreaming of a better world and fighting to enable every person to lead their greatest lives. Learn more about @SalesforceOrg #PhilanthropyCloud below. ?? 

https://t.co/SX8cWfiPaQ"
2018-10-19 15:53:05,"End #DomesticViolence. 

Here's how. ?

https://t.co/rIZocr2Xdb"
2018-10-18 14:38:01,"REMINDER:  You are not what happened to you. You are what you choose to become. ?

2-1-1, United Way's helpline, is helping callers find local survivor support and mental health resources. https://t.co/fdpTT7meMy https://t.co/4sXCqqh79L"
2018-10-17 17:56:25,"We're proud to partner with @IBM to help people in a disaster.

Meet CARLA, an interactive chatbot designed by @UnitedWay and @IBM to answer Florida residents’ most pressing questions during a hurricane. 

https://t.co/0JrpSCDjEw"
2018-10-17 13:57:00,"DYK: Young people are far more likely than senior citizens to report being lonely and in poor health? Read @UnitedWay's blog about how feeling lonely is not uncommon. 

https://t.co/cRVXgmdji5"
2018-10-16 17:47:00,"It’s your uncle, your boss, your classmate. It’s me. 

Learn how you can change the conversation by speaking up. More below ?

https://t.co/sKpqYyVVzE"
2018-10-16 15:03:32,"Today is #WorldFoodDay! 

We believe communities are stronger when our neighbors have food on their table, but the fact is, too many families still go hungry.

United Way fights to end hunger with brands like, @KelloggCompany who have the same vision as us! https://t.co/SgM0t5kofA"
2018-10-15 19:57:50,"'I just wanted to come down here and help, offer some hope, also serve in any way possible,' @juliuspeppers_ shares after assisting with #HurricaneFlorence recovery efforts. 

Read the full @TheUndefeated article by @Wright_One below! 

https://t.co/k5Aam8zDyV"
2018-10-15 16:08:02,"A healthy community is a stronger community. ? @unitedwaychi is making a big difference in creating lasting change. 

Read more below!

https://t.co/8vMuRqGvht"
2018-10-15 14:09:18,"Reading at a proficient level by third grade can mean the difference between graduating high school and dropping out.

https://t.co/iVT2TLqaBj"
2018-10-14 20:50:00,"Many experts on kids and media are also parents themselves. 

Read how the different priorities they focused on in their own research corresponded with the priorities they set at home below. ?????????? 

https://t.co/erokQwtlDF"
2018-10-13 13:21:00,"Start your day off right by reading 8 stories of strangers helping someone they didn't know. 

Check out @lindsaygholmes's article via @HuffPost below! ?? 
https://t.co/ZnFeF8nvp9"
2018-10-11 17:28:15,"You are not alone. We are here for you. ?

As a critical part of a community’s recovery efforts, United Way is ready to help as many people as possible in the affected areas.

?? Here’s how you can help: https://t.co/X7RurDlh0o 

#HurricaneMichael #TropicalStormMichael https://t.co/P4OdjYj6hQ"
2018-10-11 15:41:39,"Great work happening at the local level. 

Learn more about #UNIGNORABLE below. ? https://t.co/j3qDs7V6IQ"
2018-10-11 14:33:00,"One year later and we still have a long way to go.

https://t.co/N3ASyz51St"
2018-10-10 20:52:48,"Need help? We're here. ?

If you or someone you know needs assistance during #HurricaneMichael, text* MICHAEL to 898-211. For more info, visit: https://t.co/xCJtZnYp1U 

*Message and data rates may apply. Terms: https://t.co/7yL0jtKX0P https://t.co/vl95tsj5lt"
2018-10-10 17:21:37,"We’re proud to partner with so many great partners, like @UPS. 

Together, @UPS and @UnitedWay have delivered meaningful impact in communities since 1982. Thank you, @UPSers! 

#UPSersLiveUnited https://t.co/d0d1H1Ft4v"
2018-10-10 15:15:15,"""We use multi-company groups to talk to everyone we work with about the big, important issues.” — John Taylor, CTO at @UnitedWay 

Huge thanks to @facebook and @sherylsandberg for including us! 

#FlowbyWorkplace https://t.co/jST4e5MnH8"
2018-10-10 14:56:58,"Interested to hear about United Way's work on diversity, equity and inclusion?

Follow along at 2pm EST today at #UnitedWayChat to learn more. 

Check it out here: https://t.co/A6J674fgqw"
2018-10-10 13:58:01,"Today is #HomelessDay. @UnitedWayGC CEO @MJohnsonCEO learns about this global problem by talking to his community's homeless neighbors. 

He said, ""We have to seek understanding instead of being understood. Living united means talking with them and understanding their situation."" https://t.co/fyrrjOKXT0"
2018-10-09 20:02:42,"You are not alone. We are here for you. ?

If you or someone you know needs help, contact 2-1-1. It's a free, simple and available resource 24-7. For more info, visit: https://t.co/xCJtZnYp1U

#HurricaneMichael https://t.co/bvJuIjrSP5"
2018-10-08 13:59:17,"To all our wonderful Canadian friends, #HappyThanksgiving!

Together, local United Ways and @UWCCanada form the United Way Movement. 

Across Canada, United Way is creating lasting change in local communities from coast to coast to coast. Learn more here: https://t.co/JSQRbiDXFL https://t.co/1SldWYwi3e"
2018-10-05 14:56:00,"As #WorldMentalHealthDay approaches, @maggiebertram from @Medium explores the idea of how we talk about self-care and mental health. 

Read more. ? 

https://t.co/WzEV5xGGm9"
2018-10-04 17:05:05,"""Meow meow, meow meow...?"" the students at the Kotobabi cluster of schools sing at @UnitedWayGhana's volunteer event. 

So, go ahead. ?? Sing it loud &amp; proud because singing is good for your health! Read the benefits via @chicagotribune's article here: https://t.co/X5jYzH8GBi https://t.co/BVyjLdxw5S"
2018-10-04 14:19:01,"Dream with us, imagine with us, help us create a tomorrow that is better for every person in every community. ? 

Introducing, @SalesforceOrg #PhilanthropyCloud. Watch below!

https://t.co/WbVkANU1NR"
2018-10-03 21:10:31,"Huge congratulations to long-standing United Way advocate, @demario__davis, for being named NFC Defensive Player of the Week! ? https://t.co/TIwGEJkTKy"
2018-10-03 15:25:03,"""ADHD, dyslexia, and even autism, among others, can become a thing of the past."" 

? Read more via @NPR 

https://t.co/O8f1rYagol"
2018-10-02 18:07:03,"United Way is evolving to connect with individuals, create greater impact and build stronger communities. 

Read more via @HarvardBiz ?? 

https://t.co/x5bnX6HdLH"
2018-10-01 19:26:00,"Have you ever wondered how childhood trauma manifests itself in adulthood? @DrBurkeHarris speaks about the effect of adverse childhood experiences on lifelong #health. 

Watch her @TEDTalks below. ?? 

https://t.co/lp5xj4KxuF"
2018-10-01 17:52:31,"Learn more how @UnitedWay and @SalesforceOrg aims to connect, inspire and empower social change with #PhilanthropyCloud, below! ?

https://t.co/mH6yEm06Lf"
2018-10-01 16:12:04,"DYK: When students are tutored, teachers report that the students have better attitudes towards reading and learning?

#NationalTutoringWeek #TutoringWeek

https://t.co/p6KwRjWGXa"
2018-10-01 13:24:55,"Here's your #MondayMorning reminder: There is a superhero inside all of us, we just need the courage to put on the cape. ????????

Thanks to our team at @UWCO who continue to #LiveUnited by fighting poverty in #Columbus, Ohio. https://t.co/WCzCQ3TTto"
2018-10-01 13:15:34,"Great work happening at @UWSuncoast?! 

What's your community doing about hunger? https://t.co/YSdoZSt9k8"
2018-09-29 23:25:01,"We believe all children deserve a strong start in life with a solid foundation for success, which includes healthy bodies and minds. ??

https://t.co/DpwyCuPDq8"
2018-09-28 20:18:50,"Earlier this week, @UnitedWay International president, @JosePedroFerrao talked about transforming food systems to drive impact.

United Way fights to end hunger with brands like, @KelloggCompany who have the same vision as us! Learn more: https://t.co/GuPTBaiSwk

#SDG2 #UNGA https://t.co/8e9OJMafrS"
2018-09-28 18:02:49,"A workplace with values and philanthropy matters. 

@SalesforceOrg CEO @Rob_M_Acker, @UnitedWay CEO @BGallagherUW and @SalesforceOrg EVP/GM #PhilanthropyCloud Nasi Jazayeri share how the future of corporate philanthropy is changing and how United Way and Salesforce are responding https://t.co/pkJ59Nxbir"
2018-09-28 15:42:10,"We are in AWE of @JOEL9ONE! 

Chris, thank you for your generosity and helping childhood literacy. We appreciate you! ?? https://t.co/NyVOTGvg9z"
2018-09-27 14:32:00,"ICYMI: No matter your age, anyone can make a difference in someone's life. ""Feeding the homeless is the highlight of my life,” 4-year-old Austin told @CBSNews. 

https://t.co/ChJDv5Qo7r"
2018-09-26 19:27:02,"Want to know how purpose can drive your business and your community?

Don’t miss the #PhilanthropyCloud keynote during #DF18 TODAY at 4:30 p.m. ET! 

Watch here: https://t.co/x4ZvuBKbwN"
2018-09-26 18:41:51,"We are proud to team up with @SalesforceOrg to create real impact across communities. 

Join @Rob_M_Acker and Nasi Jazayeri as they walk us through #PhilanthropyCloud, the world's first workplace giving network. 

Watch today at 4:30 p.m. ET: https://t.co/x4ZvuBKbwN https://t.co/21OhIwyggk"
2018-09-26 15:28:00,"#PhilanthropyCloud is not simply a platform; it's a bridge that can truly bring people together for the common good.

https://t.co/2ullIjXq0v"
2018-09-25 21:59:41,"""If you see the world through someone else's eyes and act on compassion, good things happen.” 

Here at #DF18, @BGallagherUW shares how @UnitedWay is using @SalesforceOrg #PhilanthropyCloud to help people impact communities for good: https://t.co/v4L7EztblH 

#PlatformForChange"
2018-09-25 21:12:27,"The clock is ticking down! ?

Don't miss out on today's opening Keynote from @UnitedWay CEO @BGallagherUW with @Salesforce Chairman, Co-CEO, and Founder @Benioff at 5:30 ET 

Live broadcast here: https://t.co/v4L7EztblH | #DF18 https://t.co/julSGOwk5K"
2018-09-25 20:30:00,"In hope to better connect, inspire and empower social change we've partnered with @SalesforceOrg to launch #PhilanthropyCloud. ? 

“This really puts us in the game from a digital standpoint,” said @unitedwaytc's Bob Poferl. 

Via @StarTribune

https://t.co/U1Zz19mapl"
2018-09-25 15:54:55,"United Way is grateful for our partnership with @SalesforceOrg to build a new marketplace, #PhilanthropyCloud, to help companies and employees translate passion into real change. https://t.co/pdUlVfbfA0"
2018-09-25 14:10:00,"“My kids don’t have to be poor. They have dreams and goals and should feel like they can be something. My kids get experiences that they wouldn’t get if United Way and our community wasn’t helping.” 

— Liz, mother of Malia who was helped by @UnitedWayGC  

#DreamDay https://t.co/uh1zIEuxEr"
2018-09-25 13:30:04,"It’s #NationalVoterRegistrationDay! 

Register to vote or update your registration online now: https://t.co/wVuTFeFvgb

#MidtermsOnMyTerms #AIGADesign | Design by Angelica Dios Jaramillo https://t.co/znygfLTwvE"
2018-09-24 19:07:04,"Despite all the storm destroyed, Puerto Rico is living proof that when we fight united, we win united. ? 

https://t.co/QjOluRgpuu"
2018-09-24 16:01:16,"Access to transportation is one of the biggest causes of unemployment &amp; underemployment in the US. 

Here’s what @UnitedWay &amp; @lyft are doing about it. ??

https://t.co/wVKTwXqO8H"
2018-09-23 20:49:00,"Only 7 years old and Olivia is making an impact. ? 

Read more about the inspiring young advocate who's selflessness and willingness to educate her community is earning her headlines. 

Via @chicagotribune 

https://t.co/aqEqv2Laci"
2018-09-21 20:22:02,"Be part of United Way's digital transformation by helping companies and people find purpose. 

More details below. ? 

https://t.co/2ullIjXq0v"
2018-09-21 18:35:38,"United Way is gearing up for next week's #DF18 event. 

Check out a few ‘behind-the-scenes’ shots from a recent video shoot with @UnitedWay CEO, @BGallagherUW, and @SalesforceOrg.? https://t.co/bqmZ03SXqQ"
2018-09-21 14:45:22,"A big CONGRATS to our friends at @lyft for completing more than one billion rides in just six years! 

Lyft, thank you for your partnership and making every ride matter. ?

Check out what we're doing together: https://t.co/rvc7hvaZf3

https://t.co/Yq34MQfF9B"
2018-09-20 20:53:03,"ICYMI: Read how @SalesforceOrg and @UnitedWay are teaming up to enable and encourage positive social change at scale. 

@UnitedWay CMO, @LisaBowmanUWW, shares her thoughts below. ? https://t.co/uOqn745uKJ"
2018-09-20 20:35:00,"Looking to make a meaningful impact? 

Read how you can help #HurricaneFlorence relief efforts in @AntoniaMiran's article via @HuffPost below!

https://t.co/R9LDZRMGAc"
2018-09-20 20:25:57,"We have the best partners. ? Huge thanks to @UPS for your support of recovery efforts following #HurricaneFlorence. 

#UPSersLiveUnited https://t.co/nwXo5DMCIl"
2018-09-20 20:20:55,"In hope to better connect, inspire and empower social change we're partnering with @SalesforceOrg to launch #PhilanthropyCloud. ? 

Be part of United Way's digital transformation. Don't miss the Philanthropy Cloud Keynote at #DF18. Details below. ?? https://t.co/MK05jwstOa"
2018-09-20 18:48:03,"1??in  6?? children in the US don’t know where their next meal is coming from. That’s enough students to fill 180,555 school buses. ? 

Today, #WomenUnited is fighting to make sure these children have enough to eat. Learn how you can help. ? 

https://t.co/4Yg2dCL6wG"
2018-09-20 16:53:04,"DYK: Young people are far more likely than senior citizens to report being lonely and in poor health? Read @UnitedWay's blog about how feeling lonely is not uncommon. 

https://t.co/cRVXgmdji5"
2018-09-20 16:50:24,"Thanks to @NPR's Amanda Morris and Ruben Kimmelman for creating a guide to help those affected by #HurricaneFlorence.

@UnitedWay continues to support local communities affected by the disaster. For more information or to donate, visit https://t.co/1OZ21YbJ2z https://t.co/gsPqChrSnb"
2018-09-20 01:27:00,"ICYMI: @UnitedWay joined a conversation with partners to talk about how #Medicaid and #CHIP helps students succeed in school.

?? Check out a quick recap below!

https://t.co/Vcm2N5GL8r"
2018-09-19 18:13:01,"ICYMI: Check out @UnitedWay's Advocacy Forum and Capital Hill Day recap below! ?#UWAdvocate 

https://t.co/wDpuNcs3Rl"
2018-09-19 15:37:01,"Reading aloud with a child everyday helps them expand their view of the world. Here are 3 ways you can instill a child’s love of books.

https://t.co/iVT2TLqaBj"
2018-09-19 13:30:02,"Since 1982, @UPSers and The @UPS_Foundation have donated $1.5 billion to @UnitedWay's network of 1,800+ global chapters in 43 countries. 

We are GRATEFUL for our AMAZING partners. Thank you, @UPSers and @UPS_Foundation! ?? https://t.co/4DtSMXGccb"
2018-09-19 12:06:02,"We join @MFanningPenny, CEO @UnitedWayBR, in urging Congress to fight for children &amp; families by ensuring the Senate’s bipartisan provisions that strengthen #SNAP are included in the final bill.

https://t.co/Lm38LwlKH0"
2018-09-18 17:45:03,"We are challenging the status quo, dreaming of a better world and fighting to enable every person to lead their greatest lives. Learn more about @SalesforceOrg #PhilanthropyCloud below. ?? 

https://t.co/SX8cWfiPaQ"
2018-09-18 15:42:01,"More than a million people have been advised to evacuate the US East Coast to escape Hurricane Florence. ? 

Read how you and your friends can help #HurricaneFlorence relief efforts in @MddeH's article via @qz. 

https://t.co/4q96uXPHFC"
2018-09-18 13:18:00,"Amidst the destruction from #HurricaneFlorence came acts of bravery ? and selflessness. ? 

Read the stories of neighbors aiding neighbors, strangers opening their homes and numerous acts of selflessness in @CNN's recent article. 

https://t.co/W08JpQd4o7"
2018-09-17 21:58:00,"United Ways across the region are helping communities face the devastating effects of #HurricaneFlorence, and offering hope and help when and where it is most needed. ? 

Via @CNN Public Good

https://t.co/cg2P01eiDq"
2018-09-17 17:54:01,"Need assistance for #HurricaneFlorence? Call 2-1-1 or text* FLORENCE to 898-211 to reach a @211Help call specialist 24/7.

*Msg &amp; data rates may apply. https://t.co/7yL0jtKX0P https://t.co/1jlU1lB1Bb"
2018-09-17 12:06:50,"Need some #MondayMorning #MondayMotivation? 

See below. ? https://t.co/PyIWmb1Fyc"
2018-09-16 22:03:00,"DYK: Reading with your child can help boost brain development? ?

?? Check out a recommended reading list for all ages from @navsaria. 

Via @AmerAcadPeds and @reachoutandread | #literacymonth 

https://t.co/bsw4zXqpV6"
2018-09-16 19:33:10,"United Way is fighting for everyone impacted by #HurricaneFlorence. 

Read how @UnitedWay and other groups are responding to the disaster and ways you can help in @susmiller's article via @USATODAY below! ? https://t.co/MzGrsvP2YE"
2018-09-16 00:49:23,"We are prepared to help our local partners with disaster response. 

@UnitedWay US President @mbsellers urges people to think about the medium- and long-term effects of Hurricane Florence. 

Read more in @karenzraick article via @nytimes below! ??

https://t.co/yK9F0mydbF"
2018-09-14 13:02:22,"Need assistance for #HurricaneFlorence? Call 2-1-1 or text FLORENCE to 898-211 to reach a @211Help call specialist 24/7 Msg &amp; data rates may apply

#FlorenceHurricane2018 https://t.co/CkgKBSP9wq"
2018-09-13 21:32:10,"A huge THANK YOU goes out to @BlankFoundation, @AtlantaFalcons and @ATLUTD. We are so grateful for your support of our national disaster response effort. Thank you again! 

More info ? https://t.co/a2zFxMGExC https://t.co/CTL4VlRpwz"
2018-09-13 20:12:18,"United Way stands ready to fight for everyone in the path of #HurricaneFlorence. 

As a critical part of a community’s recovery efforts, United Ways are ready to help as many people as possible in the affected areas. 

?? Here’s how you can help: https://t.co/mFkHeMCBIZ https://t.co/iXribijb2G"
2018-09-13 17:17:16,"Are you prepared for a disaster? 

Get ahead of the next storm ? or wildfire ? by making sure you’re ready in case you are asked to leave your home: https://t.co/OspMW9abC1 

Video by @Readygov | #PrepareNow https://t.co/lcZErp9Xlh"
