EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,REGION,addr,Lat,Lng
592104175,UNITED WAYS OF FLORIDA INC,,307 E 7TH AVE,TALLAHASSEE,FL,32303-5520,0,3,3,1000,198108,1,15,600000000,1,1,201706.0,4,6,1,0,6,208083.0,1155458.0,1155458.0,,,Gulf Coast and Pacific Coast Areas,"307 E 7TH AVE, TALLAHASSEE, FL, 32303",30.4578506,-84.2804114
720462338,UNITED WAY OF CENTRAL LOUISIANA INC,,1101 4TH ST STE 202,ALEXANDRIA,LA,71301-8311,0,3,3,1000,197201,1,15,927000000,1,1,201712.0,6,6,1,0,12,1411996.0,1405864.0,1405864.0,,,Gulf Coast and Pacific Coast Areas,"1101 4TH ST, ALEXANDRIA, LA, 71301",31.3113427,-92.4459415
640410475,UNITED WAY OF SOUTHEAST MISSISSIPPI INC,,210 W FRONT ST,HATTIESBURG,MS,39401-3861,0,3,3,1000,195808,1,15,600927602,1,1,201803.0,6,6,1,0,3,1798684.0,1175998.0,1175998.0,T70,,Gulf Coast and Pacific Coast Areas,"210 W FRONT ST, HATTIESBURG, MS, 39401",31.32520499999999,-89.29067889999999
860098932,UNITED WAY OF TUCSON AND SOUTHERN ARIZONA INC,,330 N COMMERCE PARK LOOP,TUCSON,AZ,85745-2789,0,3,3,1000,195804,1,15,927000000,1,1,201706.0,8,8,1,0,6,12325344.0,14357370.0,13271015.0,T70,,Gulf Coast and Pacific Coast Areas,"330 N COMMERCE PARK LOOP, TUCSON, AZ, 85745",32.224714,-110.9848723
753165175,UNITED WAYS OF ALABAMA,% REBECCA WILBURN BOOKER,8 COMMERCE ST STE 1140,MONTGOMERY,AL,36104-3673,0,3,3,1000,200411,1,15,0,1,1,201612.0,6,5,1,0,12,1257793.0,591774.0,591774.0,T30,,Gulf Coast and Pacific Coast Areas,"8 COMMERCE ST, MONTGOMERY, AL, 36104",32.378943,-86.310695
720503930,UNITED WAY OF NORTHWEST LOUISIANA,,820 JORDAN ST STE 370,SHREVEPORT,LA,71101-4500,0,3,3,1000,195607,1,15,602000000,1,1,201612.0,6,6,1,0,12,2314792.0,2023687.0,2023687.0,,,Gulf Coast and Pacific Coast Areas,"820 JORDAN ST, SHREVEPORT, LA, 71101",32.49815,-93.741756
720498515,THE UNITED WAY OF NORTHEAST LOUISIANA INC,,1201 HUDSON LN,MONROE,LA,71201-6005,0,3,3,1000,195708,1,15,600927602,1,1,201706.0,6,6,1,0,6,3609113.0,4761003.0,4706375.0,T70,,Gulf Coast and Pacific Coast Areas,"1201 HUDSON LN, MONROE, LA, 71201",32.5147339,-92.1143501
630288846,UNITED WAY OF CENTRAL ALABAMA INC,,3600 8TH AVENUE SOUTH,BIRMINGHAM,AL,35222-3250,0,3,3,1200,194111,1,15,600059927,1,1,201612.0,9,9,1,0,12,90353699.0,64856431.0,62357836.0,T700,,Gulf Coast and Pacific Coast Areas,"3600 8TH AVENUE SOUTH, BIRMINGHAM, AL, 35222",33.521619,-86.760295
630350957,UNITED WAY OF EAST CENTRAL ALABAMA,,1505 WILMER AVE,ANNISTON,AL,36201-3854,0,3,3,1000,195603,1,15,602000000,1,1,201712.0,6,5,1,0,12,2001610.0,920460.0,920460.0,T70J,,Gulf Coast and Pacific Coast Areas,"1505 WILMER AVE, ANNISTON, AL, 36201",33.665069,-85.828479
586008133,UNITED WAY OF NORTHEAST GEORGIA INC,,1 HUNTINGTON RD STE 805,ATHENS,GA,30606-7216,0,3,3,1000,196504,1,15,600000000,1,1,201612.0,6,6,1,0,12,2631294.0,2436034.0,2436034.0,T70,,Gulf Coast and Pacific Coast Areas,"1 HUNTINGTON RD, ATHENS, GA, 30606",33.947759,-83.463848
941646369,UNITED WAYS OF CALIFORNIA,,1107 FAIR OAKS AVENUE 12,SOUTH PASADENA,CA,91030-3311,0,3,2,1000,196802,1,15,927600000,1,1,201612.0,6,6,1,0,12,1256375.0,2149103.0,2149103.0,S20Z,,Gulf Coast and Pacific Coast Areas,"1107 FAIR OAKS AVENUE 12, SOUTH PASADENA, CA, 91030",34.1136504,-118.15155040000002
640392972,UNITED WAY OF NORTHEAST MISSISSIPPI INC,,213 W MAIN ST STE 110,TUPELO,MS,38804-3909,0,3,3,1000,196503,1,17,927602000,1,1,201709.0,6,6,1,0,9,1972968.0,2257041.0,2257041.0,T70Z,,Gulf Coast and Pacific Coast Areas,"213 W MAIN ST, TUPELO, MS, 38804",34.2503085,-88.7632484
237109243,UNITED WAY OF EASTERN NEW MEXICO INC,,1200 N THORNTON ST STE G,CLOVIS,NM,88101-5508,0,3,3,1000,197109,1,15,927000000,1,1,201612.0,5,5,1,0,12,660639.0,733801.0,733801.0,T70Z,,Gulf Coast and Pacific Coast Areas,"1200 N THORNTON ST, CLOVIS, NM, 88101",34.4176195,-103.214183
630873878,UNITED WAY OF THE NORTHWEST ALABAMA INC,,118 E MOBILE ST STE 300,FLORENCE,AL,35630-4757,0,3,3,1000,199708,1,15,600000000,1,1,201706.0,5,6,1,0,6,961341.0,1088931.0,1088931.0,T70Z,,Gulf Coast and Pacific Coast Areas,"118 E MOBILE ST, FLORENCE, AL, 35630",34.80114925,-87.675490668858
850277138,UNITED WAY OF CENTRAL NEW MEXICO,,2340 ALAMO AVE SE 2ND FLOOR,ALBUQUERQUE,NM,87106-3820,0,3,3,1000,198003,1,15,600602000,1,1,201706.0,8,8,1,0,6,14128678.0,22064847.0,22064847.0,T70Z,,Gulf Coast and Pacific Coast Areas,"2340 ALAMO AVE SE, ALBUQUERQUE, NM, 87106",35.055771,-106.648869
730589829,UNITED WAY OF CENTRAL OKLAHOMA,% PAMELA COX,1444 NW 28TH ST,OKLAHOMA CITY,OK,73106-3430,0,3,3,1000,195208,1,15,600927000,1,1,201712.0,8,8,1,0,12,33800456.0,17259959.0,17252736.0,T70Z,UNITED WAY OF METRO OKLAHOMA CITY,Gulf Coast and Pacific Coast Areas,"1444 NW 28TH ST, OKLAHOMA CITY, OK, 73106",35.4984461,-97.5422116
620590257,UNITED WAY OF WEST TENNESSEE INC,,470 N PARKWAY STE B,JACKSON,TN,38305-2843,0,3,3,1000,196807,1,15,602000000,1,1,201803.0,6,6,1,0,3,3068266.0,1959570.0,1775302.0,T70,,Gulf Coast and Pacific Coast Areas,"470 N PARKWAY, JACKSON, TN, 38305",35.6485591,-88.7886744
560564547,UNITED WAY OF NORTH CAROLINA,% KENYA CHERRY,1130 KILDAIRE FARM RD STE 100,CARY,NC,27511-4561,0,3,3,1000,197511,1,15,600927602,1,1,201612.0,6,6,1,0,12,2392945.0,1226724.0,1226724.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"1130 KILDAIRE FARM RD, CARY, NC, 27511",35.7248551,-78.7777123
716057164,UNITED WAY OF NORTHEAST ARKANSAS,,407 UNION ST,JONESBORO,AR,72401-2834,0,3,3,1000,195901,1,15,927602000,1,1,201712.0,6,5,1,0,12,1016351.0,825792.0,825792.0,T70Z,,Gulf Coast and Pacific Coast Areas,"407 UNION ST, JONESBORO, AR, 72401",35.838365,-90.705803
621773407,UNITED WAYS OF TENNESSEE,% MARY GRAHAM,209 GOTHIC CT STE 107,FRANKLIN,TN,37067-2810,0,3,3,1200,199909,1,15,0,1,1,201712.0,4,4,1,0,12,248284.0,344834.0,344834.0,P20,,Gulf Coast and Pacific Coast Areas,"209 GOTHIC CT, FRANKLIN, TN, 37067",35.952681,-86.8237724
880071328,UNITED WAY OF SOUTHERN NEVADA INC,,5830 W FLAMINGO RD,LAS VEGAS,NV,89103-2301,0,3,3,1000,196511,1,15,602927600,1,1,201706.0,7,8,1,0,6,9445314.0,10937457.0,10937447.0,T70Z,,Gulf Coast and Pacific Coast Areas,"5830 W FLAMINGO RD, LAS VEGAS, NV, 89103",36.1152156,-115.22128980000002
620533104,UNITED WAY OF MIDDLE TENNESSEE INC,% MARY WIGGINS,250 VENTURE CIR,NASHVILLE,TN,37228-1604,0,3,3,1000,197507,1,15,600000000,1,1,201712.0,8,8,1,0,12,33218339.0,29577861.0,26229850.0,T70,,Gulf Coast and Pacific Coast Areas,"250 VENTURE CIR, NASHVILLE, TN, 37228",36.1958544,-86.7956438
710305700,UNITED WAY OF NORTHWEST ARKANSAS INC,,100 PARKWOOD ST,LOWELL,AR,72745-8807,0,3,3,1000,197111,1,15,600000000,1,1,201706.0,6,7,1,0,6,4336008.0,7284004.0,7144801.0,T70,,Gulf Coast and Pacific Coast Areas,"100 PARKWOOD ST, LOWELL, AR, 72745",36.2538413,-94.1389383
731164992,UNITED WAY OF BLACKWELL OKLAHOMA INC,,120 SMAIN,BLACKWELL,OK,74631-0000,0,3,3,1000,199501,1,15,600000000,1,1,201712.0,0,0,2,0,12,0.0,0.0,0.0,T70J,,Gulf Coast and Pacific Coast Areas,"120 SMAIN, BLACKWELL, OK, 74631",36.8035614,-97.28286789999999
540535602,UNITED WAY OF THE VIRGINIA PENINSULA,,11820 FOUNTAIN WAY STE 206,NEWPORT NEWS,VA,23606-4478,0,3,3,2000,194104,1,15,600000000,1,1,201706.0,7,7,1,0,6,7717248.0,5168461.0,4966350.0,T700,,Mid-Atlantic and Great Lakes Areas,"11820 FOUNTAIN WAY, NEWPORT NEWS, VA, 23606",37.0858042,-76.4723218
440556865,UNITED WAY OF SOUTHWEST MISSOURI AND SOUTHEAST KANSAS INC,,3510 E 3RD STREET,JOPLIN,MO,64801-8407,0,3,3,1000,194301,1,15,927000000,1,1,201712.0,6,6,1,0,12,2168398.0,1455819.0,1455819.0,,,Gulf Coast and Pacific Coast Areas,"3510 E 3RD STREET, JOPLIN, MO, 64801",37.087787,-94.470231
611161667,UNITED WAY OF SOUTHEASTERN KENTUCKY INC,,412 ROY CAMPBELL DR,HAZARD,KY,41701-9453,0,3,3,1000,198908,1,15,600994000,1,1,201712.0,2,3,2,0,12,13785.0,29909.0,29909.0,,,Mid-Atlantic and Great Lakes Areas,"412 ROY CAMPBELL DR, HAZARD, KY, 41701",37.272308,-83.230136
540505923,UNITED WAY OF CENTRAL VIRGINIA INC,,1010 MILLER PARK SQ,LYNCHBURG,VA,24501-2755,0,3,3,1000,195811,1,15,927602000,1,1,201706.0,6,6,1,0,6,3204349.0,2487493.0,2422645.0,,,Mid-Atlantic and Great Lakes Areas,"1010 MILLER PARK SQ, LYNCHBURG, VA, 24501",37.4039886,-79.1592083
237166092,HEART OF KENTUCKY UNITED WAY,,118 N 3RD ST,DANVILLE,KY,40422-1632,0,3,3,1000,197202,1,15,927602000,5,1,201706.0,6,6,1,0,6,1380369.0,1148657.0,1148657.0,,,Mid-Atlantic and Great Lakes Areas,"118 N 3RD ST, DANVILLE, KY, 40422",37.649033,-84.7721413
611397560,UNITED WAY OF CENTRAL KENTUCKY INC,,604 N MAIN ST,ELIZABETHTOWN,KY,42701-1223,0,3,3,1000,200203,1,15,0,1,1,201703.0,6,6,1,0,3,1434173.0,1101851.0,1101851.0,P12,,Mid-Atlantic and Great Lakes Areas,"604 N MAIN ST, ELIZABETHTOWN, KY, 42701",37.693255,-85.857779
610435444,UNITED WAY OF THE OHIO VALLEY INC,,403 PARK PLAZA DR,OWENSBORO,KY,42301-5449,0,3,3,1000,193407,1,15,600927328,1,1,201712.0,6,6,1,0,12,2236563.0,1626051.0,1626051.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"403 PARK PLAZA DR, OWENSBORO, KY, 42301",37.750731,-87.116358
237199368,UNITED WAY OF EL DORADO KANSAS INC,,116 W PINE AVE,EL DORADO,KS,67042-3456,0,3,3,1000,197303,1,15,927000000,1,1,201612.0,4,4,1,0,12,470965.0,312869.0,312869.0,,,Gulf Coast and Pacific Coast Areas,"116 W PINE AVE, EL DORADO, KS, 67042",37.8164573,-96.8566638
311106795,UNITED WAY OF KENTUCKY,,334 EAST BROADWAY SUITE 308,LOUISVILLE,KY,40202-1739,0,3,3,1000,198409,1,15,600000000,1,1,201612.0,6,5,1,0,12,2127445.0,617888.0,617888.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"334 EAST BROADWAY, LOUISVILLE, KY, 40202",38.2448541,-85.7478006584632
371149287,UNITED WAY OF SOUTH CENTRAL ILLINOIS,,802 S 42ND ST,MOUNT VERNON,IL,62864-6260,0,3,3,1000,198411,1,15,600000000,1,1,201612.0,5,5,1,0,12,753030.0,668458.0,256050.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"802 S 42ND ST, MOUNT VERNON, IL, 62864",38.3072921,-88.9421797
480683479,UNITED WAY OF CENTRAL KANSAS INC,,1125 WILLIAMS ST,GREAT BEND,KS,67530-4445,0,3,3,1000,201604,1,15,600927602,1,1,201612.0,4,4,1,0,12,151319.0,283029.0,283029.0,T70,,Gulf Coast and Pacific Coast Areas,"1125 WILLIAMS ST, GREAT BEND, KS, 67530",38.379119,-98.766463
941225382,UNITED WAY CALIFORNIA CAPITAL REGION,,10389 OLD PLACERVILLE RD,SACRAMENTO,CA,95827-2506,0,3,3,1000,197105,1,15,602000000,1,1,201706.0,7,8,1,0,6,7241534.0,10444566.0,10390522.0,T70Z,,Gulf Coast and Pacific Coast Areas,"10389 OLD PLACERVILLE RD, SACRAMENTO, CA, 95827",38.55684,-121.337917
200246588,UNITED WAY OF CENTRAL MISSOURI FOUNDATION,% LINDA MCANANY,205 ALAMEDA DR,JEFFERSON CTY,MO,65109-1058,0,3,3,1000,200310,1,15,0,1,1,201712.0,5,4,1,0,12,826168.0,145674.0,37107.0,P12,,Gulf Coast and Pacific Coast Areas,"205 ALAMEDA DR, JEFFERSON CTY, MO, 65109",38.5893847,-92.2484739
440595184,UNITED WAY OF CENTRAL MISSOURI INC,,205 ALAMEDA DR,JEFFERSON CTY,MO,65109-1058,0,3,3,1000,195611,1,15,600000000,5,1,201712.0,6,6,1,0,12,3181217.0,2068503.0,2042505.0,T70Z,,Gulf Coast and Pacific Coast Areas,"205 ALAMEDA DR, JEFFERSON CTY, MO, 65109",38.5893847,-92.2484739
440545812,UNITED WAY OF GREATER KANSAS CITY INC,% MICHELLE HOGERTY,801 W 47TH ST STE 500,KANSAS CITY,MO,64112-1239,0,3,3,1000,194712,1,15,600000000,1,1,201704.0,8,8,1,0,4,33208887.0,33886699.0,31627977.0,,,Gulf Coast and Pacific Coast Areas,"801 W 47TH ST, KANSAS CITY, MO, 64112",39.0423986,-94.5972172
550403123,UNITED WAY ALLIANCE OF THE MID OHIO VALLEY INC,,935 MARKET ST,PARKERSBURG,WV,26101-4736,0,3,3,1000,196105,1,15,600927602,1,1,201706.0,5,5,1,0,6,936688.0,932495.0,756399.0,T12,,Mid-Atlantic and Great Lakes Areas,"935 MARKET ST, PARKERSBURG, WV, 26101",39.2689255,-81.5548956
520591543,THE UNITED WAY OF CENTRAL MARYLAND INC,,1800 WASHINGTON BLVD STE 340,BALTIMORE,MD,21230-1732,0,3,3,1000,192704,1,15,600000000,1,1,201706.0,8,9,1,0,6,38383827.0,65420183.0,37110800.0,T700,,Mid-Atlantic and Great Lakes Areas,"1800 WASHINGTON BLVD, BALTIMORE, MD, 21230",39.27639345,-76.6444629896203
880059327,UNITED WAY OF NORTHERN NEVADA AND THE SIERRA,% NA,639 ISBELL RD STE 460,RENO,NV,89509-4979,0,3,3,1000,196307,1,15,600927000,1,1,201706.0,6,6,1,0,6,1005031.0,1399130.0,1399130.0,T70Z,,Gulf Coast and Pacific Coast Areas,"639 ISBELL RD, RENO, NV, 89509",39.492834,-119.799465
870374334,UNITED WAY OF EASTERN UTAH,,67 E MAIN ST,PRICE,UT,84501-3031,0,3,3,1000,198112,1,15,600000000,1,1,201706.0,3,4,1,0,6,88335.0,119580.0,117257.0,P20,,Gulf Coast and Pacific Coast Areas,"67 E MAIN ST, PRICE, UT, 84501",39.594865,-110.7906843
510073399,UNITED WAY OF DELAWARE INC,,625 N ORANGE ST FL 3,WILMINGTON,DE,19801-2250,0,3,3,1000,194803,1,15,600927000,1,1,201706.0,8,8,1,0,6,13927136.0,15723912.0,15690775.0,T700,,Mid-Atlantic and Great Lakes Areas,"625 N ORANGE ST, WILMINGTON, DE, 19801",39.7416814,-75.5520512
370716060,UNITED WAY OF CENTRAL ILLINOIS INC,,1999 WABASH AVE STE 107,SPRINGFIELD,IL,62704-5375,0,3,3,1000,194203,1,15,600602000,1,1,201612.0,7,6,1,0,12,7813584.0,3138551.0,2439502.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"1999 WABASH AVE, SPRINGFIELD, IL, 62704",39.7640782,-89.6851149
351007590,UNITED WAY OF CENTRAL INDIANA INC,,2955 N MERIDIAN ST SUITE 300,INDIANAPOLIS,IN,46208-4714,0,3,3,1000,193803,1,15,600000000,1,1,201706.0,9,9,1,0,6,184305381.0,151218317.0,74979567.0,T700,,Mid-Atlantic and Great Lakes Areas,"2955 N MERIDIAN ST, INDIANAPOLIS, IN, 46208",39.8194045,-86.1567968
351441961,INDIANA ASSOCIATION OF UNITED WAYS INCORPORATED,,3901 N MERIDIAN ST STE 306,INDIANAPOLIS,IN,46208-4026,0,3,3,1000,199101,1,17,600000000,1,1,201612.0,8,6,1,0,12,10615717.0,2790003.0,2790003.0,T700,,Mid-Atlantic and Great Lakes Areas,"3901 N MERIDIAN ST, INDIANAPOLIS, IN, 46208",39.8194045,-86.1567968
370673475,UNITED WAY OF DECATUR AND MID ILLINOIS,% MELINDA M HAWBAKER EXECUTIVE DIR,201 W ELDORADO ST,DECATUR,IL,62522-2112,0,3,3,1000,195412,1,15,927602600,1,1,201706.0,6,6,1,0,6,2794206.0,1888949.0,1865802.0,T70,,Mid-Atlantic and Great Lakes Areas,"201 W ELDORADO ST, DECATUR, IL, 62522",39.845237,-88.989579
314393712,UNITED WAY OF CENTRAL OHIO INC,,360 S 3RD ST,COLUMBUS,OH,43215-5412,0,3,3,1000,195211,1,15,927600000,1,1,201803.0,8,8,1,0,3,37629725.0,48393331.0,48393331.0,T700,,Mid-Atlantic and Great Lakes Areas,"360 S 3RD ST, COLUMBUS, OH, 43215",39.923443,-82.994101
231556045,UNITED WAY OF GREATER PHILADELPHIA AND SOUTHERN NEW JERSEY,% KAREN CLEARY,1709 BENJAMIN FRANKLIN,PHILADELPHIA,PA,19103-1206,3293,3,6,1200,199107,1,15,123000000,1,1,201706.0,9,9,1,0,6,102965625.0,69040685.0,58538450.0,T700,,Mid-Atlantic and Great Lakes Areas,"1709 BENJAMIN FRANKLIN, PHILADELPHIA, PA, 19103",39.95614,-75.16805
651241811,UNITED WAY OF SOUTHEASTERN PENNSYLVANIA,% JAMES F CAWLEY,1709 BENJAMIN FRANKLIN PARKWAY,PHILADELPHIA,PA,19103-1206,3293,3,9,1200,0,1,15,0,5,1,201806.0,0,0,2,0,6,0.0,0.0,0.0,,STRATEGIC COMMUNITY SOLUTIONS,Mid-Atlantic and Great Lakes Areas,"1709 BENJAMIN FRANKLIN PARKWAY, PHILADELPHIA, PA, 19103",39.95664075,-75.1681985808987
314379529,OHIO UNITED WAY,,395 E BROAD STREET,COLUMBUS,OH,43215-3844,0,3,3,1000,194901,1,15,59000000,1,1,201712.0,4,5,1,0,12,270228.0,542060.0,542060.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"395 E BROAD STREET, COLUMBUS, OH, 43215",39.965593,-82.971458
550479446,UNITED WAY OF THE UPPER OHIO VALLEY INC,,1307 CHAPLINE ST,WHEELING,WV,26003-3318,0,3,3,1000,196605,1,15,600000000,1,1,201703.0,6,6,1,0,3,3206887.0,3841351.0,1060564.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"1307 CHAPLINE ST, WHEELING, WV, 26003",40.0631215,-80.7206648
236684378,UNITED WAY ENDOWMENT FUND OF CARLISLE PENNSYLVANIA,% M & T TRUST CO,145 S HANOVER ST,CARLISLE,PA,17013-3437,0,3,3,1000,198912,1,17,602922000,2,1,201706.0,6,6,1,0,6,2483963.0,1382489.0,167107.0,,FARMERS TRUST CO TTEE,Mid-Atlantic and Great Lakes Areas,"145 S HANOVER ST, CARLISLE, PA, 17013",40.2013658,-77.1891339
942851681,UNITED WAY OF CENTRAL AND SOUTHERN UTAH,,148 N 100 W,PROVO,UT,84601-2802,0,3,3,1000,198212,1,15,600000000,1,1,201706.0,6,6,1,0,6,2344249.0,3837144.0,3743667.0,,,Gulf Coast and Pacific Coast Areas,"148 N 100 W, PROVO, UT, 84601",40.241681,-111.6604531
231672348,UNITED WAY OF PENNSYLVANIA,,909 GREEN STREET,HARRISBURG,PA,17102-2927,0,3,3,1200,196703,1,15,59179000,1,1,201712.0,4,4,1,0,12,408574.0,443225.0,443225.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"909 GREEN STREET, HARRISBURG, PA, 17102",40.2664498,-76.8876522
470402359,UNITED WAY OF SOUTH CENTRAL NEBRASKA INC,,301 S BURLINGTON AVE,HASTINGS,NE,68901-5936,0,3,3,1000,197210,1,15,600927602,1,1,201712.0,5,5,1,0,12,889209.0,553517.0,545638.0,T70Z,,Mid-Atlantic and Great Lakes Areas,"301 S BURLINGTON AVE, HASTINGS, NE, 68901",40.56795,-98.392573
310641236,UNITED WAY OF NORTH CENTRAL OHIO INC,,125 EXECUTIVE DR STE 100,MARION,OH,43302-6302,0,3,3,1000,196305,1,15,600000000,1,1,201706.0,6,6,1,0,6,1846439.0,2301893.0,2301893.0,,,Mid-Atlantic and Great Lakes Areas,"125 EXECUTIVE DR, MARION, OH, 43302",40.5699234,-83.1272995
370661504,HEART OF ILLINOIS UNITED WAY INC,,509 W HIGH ST,PEORIA,IL,61606-1924,0,3,3,1000,196408,1,15,600927000,1,1,201706.0,8,8,1,0,6,16774798.0,12805778.0,12805778.0,,,Mid-Atlantic and Great Lakes Areas,"509 W HIGH ST, PEORIA, IL, 61606",40.6980672,-89.6012458
132617681,UNITED WAY OF NEW YORK CITY,,205 EAST 42ND STREET,NEW YORK,NY,10017-5773,0,3,3,1000,196810,1,15,602000000,1,1,201706.0,8,9,1,0,6,35875990.0,70177864.0,62476395.0,T700,,Northeast Area,"205 EAST 42ND STREET, NEW YORK, NY, 10017",40.750664,-73.9737941
221487247,UNITED WAY OF NORTHERN NEW JERSEY INC,,222 RIDGEDALE AVENUE,CEDAR KNOLLS,NJ,07927-2110,0,3,3,1000,195010,1,15,602000000,1,1,201706.0,7,8,1,0,6,8219404.0,10991917.0,10644409.0,T700,,Northeast Area,"222 RIDGEDALE AVENUE, CEDAR KNOLLS, NJ, 07927",40.810011,-74.458942
222558181,UNITED WAYS OF NEW JERSEY INC,% UNITED WAY OF MONMOUTH COUNTY,16 WING DRIVE SUITE 201,CEDAR KNOLLS,NJ,07927-1007,0,3,3,1000,198608,1,16,602600000,1,1,201806.0,0,0,2,0,6,0.0,0.0,0.0,,,Northeast Area,"16 WING DRIVE, CEDAR KNOLLS, NJ, 07927",40.832346,-74.448056
870224251,UNITED WAY OF NORTHERN UTAH,,2955 HARRISON BLVD STE 201,OGDEN,UT,84403-0984,0,3,3,1000,197206,1,15,600000000,1,1,201612.0,7,6,1,0,12,7324997.0,2541820.0,2541820.0,T70Z,,Gulf Coast and Pacific Coast Areas,"2955 HARRISON BLVD, OGDEN, UT, 84403",41.2369968,-111.9461114
